"","col_id","title","pub_date","description","root_id","ds_id","n_files","downloads"
"25",25,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/V3Z6DD",1,6
"26",26,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/VCPZIK",2,7
"27",27,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/WBR06U",1,9
"28",28,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/WVDKQI",9,12
"29",29,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/YI383C",1,3
"30",30,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/YXVVML",1,6
"31",31,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1RF5RZ7",2,14
"32",32," Rüdiger von der Heydt’s Neurophysiology of Visual Perception Lab",2016-10-20,"Data associated with publications by the Neurophysiology of Visual Perception Lab","jhu","doi:10.7281/T1C8276W",2,53
"33",33,"Comparative Neural Systems and Behavioral Lab - Moss Lab",2016-07-19,"Behavioral and neurophysiological data associated with papers published by Professor Cynthia Moss’ Lab.","jhu","doi:10.7281/T1W66HPZ",10,127
"34",34,"Baltimore Urban Temperature Network",2016-07-20,"","jhu","doi:10.7281/T10Z715B",1,30
"35",35,"Cyber-Enabled Discovery and Innovation-Type II: First-Principles Based Control of Multi-Scale Meta-Material Assembly Processes",2014-05-19,"This dataverse contains data associated with publications resulting from National Science Foundation grant #1124648. These studies, by Dr. Michael Bevan and co-authors, are in the discipline of chemical and biomolecular engineering.","jhu","doi:10.7281/T1057CVH",8,54
"36",36,"Cyber-Enabled Discovery and Innovation-Type II: First-Principles Based Control of Multi-Scale Meta-Material Assembly Processes",2014-05-19,"This dataverse contains data associated with publications resulting from National Science Foundation grant #1124648. These studies, by Dr. Michael Bevan and co-authors, are in the discipline of chemical and biomolecular engineering.","jhu","doi:10.7281/T1154F09",9,80
"37",37,"Retrospective Analysis of Nutrient and Sediment Loadings to the Chesapeake Bay: Exploration of Trends and Affecting Factors",2014-09-22,"This dataverse contains data associated with publications resulting from Maryland Sea Grant # NA14OAR1470090 (lead PI William P. Ball). These studies are in the discipline of environmental engineering.","jhu","doi:10.7281/T18G8HM0",2,37
"38",38,"Retrospective Analysis of Nutrient and Sediment Loadings to the Chesapeake Bay: Exploration of Trends and Affecting Factors",2014-09-22,"This dataverse contains data associated with publications resulting from Maryland Sea Grant # NA14OAR1470090 (lead PI William P. Ball). These studies are in the discipline of environmental engineering.","jhu","doi:10.7281/T1KW5CX5",6,76
"39",39,"Retrospective Analysis of Nutrient and Sediment Loadings to the Chesapeake Bay: Exploration of Trends and Affecting Factors",2014-09-22,"This dataverse contains data associated with publications resulting from Maryland Sea Grant # NA14OAR1470090 (lead PI William P. Ball). These studies are in the discipline of environmental engineering.","jhu","doi:10.7281/T1QN64NW",5,102
"40",40,"Retrospective Analysis of Nutrient and Sediment Loadings to the Chesapeake Bay: Exploration of Trends and Affecting Factors",2014-09-22,"This dataverse contains data associated with publications resulting from Maryland Sea Grant # NA14OAR1470090 (lead PI William P. Ball). These studies are in the discipline of environmental engineering.","jhu","doi:10.7281/T1VD6WC7",5,62
"41",41,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T17P8W98",7,52
"42",42,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T1CC0XMT",5,26
"43",43,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T1H41PBJ",7,33
"44",44,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T1MW2F2Z",5,21
"45",45,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T1RN35S8",8,26
"46",46,"Dr. Sharon Gerecht Lab",2013-12-18,"Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","jhu","doi:10.7281/T1WD3XHM",11,41
"47",47,"Immigrant Incorporation in East Asian Democracies (IIEAD) Project: Focus Group Interviews in Japan and South Korea",2015-03-18,"The IIEAD Project, associated with a book, Immigrant Incorporation in East Asian Democracies (Cambridge University Press, 2020), contains transcripts and English translations of 16 focus groups conducted in Japan and South Korea focused on citizenship and immigration policies.","jhu","doi:10.7281/T1JW8BSS",17,427
"48",48,"Immigrant Incorporation in East Asian Democracies (IIEAD) Project: Focus Group Interviews in Japan and South Korea",2015-03-18,"The IIEAD Project, associated with a book, Immigrant Incorporation in East Asian Democracies (Cambridge University Press, 2020), contains transcripts and English translations of 16 focus groups conducted in Japan and South Korea focused on citizenship and immigration policies.","jhu","doi:10.7281/T1PN93HH",17,597
"49",49,"Institute for International Programs (IIP)",2015-05-18,"The Institute for International Programs (IIP) works with governments in low-income countries to improve maternal and child health and nutrition by supporting the generation and use of sound evidence for program design and implementation.","jhu","doi:10.7281/T19G5JRC",1,29
"50",50,"Institute for International Programs (IIP)",2015-05-18,"The Institute for International Programs (IIP) works with governments in low-income countries to improve maternal and child health and nutrition by supporting the generation and use of sound evidence for program design and implementation.","jhu","doi:10.7281/T1F769G3",7,78
"51",51,"Partnership for ICU Patient-family Engagement Research (PIPER) Proxy Activation Study",2017-03-31,"Pilot study of a proxy activation booklet for the medical intensive care unit. We want to know if patient activation interventions can be adapted to help the friends and family members who choose to speak for incapacitated ICU patients. These friends and family members are called proxies. As a first step in this process, we conducted a Phase I study in the Medical Intensive Care Unit at Johns Hopkins Hospital, in Baltimore, Maryland. More information about this project, led by Alison E. Turnbull, DVM, MPH, PhD at Johns Hopkins University School of Medicine, can be accessed at www.piperscience.org/proxy-activation","jhu","doi:10.7281/T1/4AJ8Y1",2,21
"52",52,"Partnership for ICU Patient-family Engagement Research (PIPER) Proxy Activation Study",2017-03-31,"Pilot study of a proxy activation booklet for the medical intensive care unit. We want to know if patient activation interventions can be adapted to help the friends and family members who choose to speak for incapacitated ICU patients. These friends and family members are called proxies. As a first step in this process, we conducted a Phase I study in the Medical Intensive Care Unit at Johns Hopkins Hospital, in Baltimore, Maryland. More information about this project, led by Alison E. Turnbull, DVM, MPH, PhD at Johns Hopkins University School of Medicine, can be accessed at www.piperscience.org/proxy-activation","jhu","doi:10.7281/T1/FN9EH6",2,26
"53",53,"Planetary Atmospheric Dynamics Research ",2017-02-23,"Research into planetary atmospheric dynamics carried out in the Dept. of Earth and Planetary Sciences.","jhu","doi:10.7281/T1/UZIT7C",11,16
"54",54,"Planetary Atmospheric Dynamics Research ",2017-02-23,"Research into planetary atmospheric dynamics carried out in the Dept. of Earth and Planetary Sciences.","jhu","doi:10.7281/T1/VWR4GR",14,55
"55",55,"Viete subduction seismicity project                                                                                                                                                                     ",2017-11-22,"Data associated with research on metamorphic textures and seismicity in subduction zones.","jhu","doi:10.7281/T1/SP6KO3",1,28
"56",56,"Sensitivity of catchment transit times to rainfall variability under present and future climates",2017-10-23,"This data and code were used to generate the figures in the publication “Sensitivity of catchment transit times to rainfall variability under present and future climates”.","jhu","doi:10.7281/T1/OM3OMQ",16,255
"57",57,"Cognitive Neurology/Neuropsychology, Implicit measures of receptive vocabulary knowledge",2017-06-29,"Data associated with the PlosONE publication “Implicit measures of receptive vocabulary knowledge in individuals with severe autism.","jhu","doi:10.7281/T1/KOSYGQ",4,13
"58",58,"Concretely Annotated Wikipedia",2017-07-12,"CONCRETE is a data serialization format for Natural Language Processing. This is a project supported by JHU HITCOE.","jhu","doi:10.7281/T1/D06YVM",205,2203
"59",59,"NSF-CNH: Building Climate Resilience in the Blue Nile Highlands",2018-08-24,"This project examined coupled natural-human dynamics related to environmental variability and economic development in the Blue Nile Highlands of Ethiopia.","jhu","doi:10.7281/T1/6JMKIG",5,16
"60",60,"NSF-CNH: Building Climate Resilience in the Blue Nile Highlands",2018-08-24,"This project examined coupled natural-human dynamics related to environmental variability and economic development in the Blue Nile Highlands of Ethiopia.","jhu","doi:10.7281/T1/SQ6FO9",2,36
"61",61,"NSF-CNH: Building Climate Resilience in the Blue Nile Highlands",2018-08-24,"This project examined coupled natural-human dynamics related to environmental variability and economic development in the Blue Nile Highlands of Ethiopia.","jhu","doi:10.7281/T1/XTJ1YP",148,478
"62",62,"AHA Go Red for Women Study: Sex Differences in Heart Failure with Preserved Ejection Fraction (HFpEF)",2018-08-17,"Data associated with studies evaluating sex differences in heart failure with preserved ejection fraction.","jhu","doi:10.7281/T1/NH6EGH",1,9
"63",63,"AHA Go Red for Women Study: Sex Differences in Heart Failure with Preserved Ejection Fraction (HFpEF)",2018-08-17,"Data associated with studies evaluating sex differences in heart failure with preserved ejection fraction.","jhu","doi:10.7281/T1/OSQSMY",1,12
"64",64,"Professor Sarah Hörst Research Group                                          ",2018-06-13,"Data associated with publications produced by the Professor Sarah Hörst Research Group","jhu","doi:10.7281/T1/BXJT0B",1,7
"65",65,"Professor Sarah Hörst Research Group                                          ",2018-06-13,"Data associated with publications produced by the Professor Sarah Hörst Research Group","jhu","doi:10.7281/T1/LJ9FLW",2,11
"66",66,"Professor Sarah Hörst Research Group                                          ",2018-06-13,"Data associated with publications produced by the Professor Sarah Hörst Research Group","jhu","doi:10.7281/T1/QGOMA0",2,23
"67",67,"Professor Sarah Hörst Research Group                                          ",2018-06-13,"Data associated with publications produced by the Professor Sarah Hörst Research Group","jhu","doi:10.7281/T1/TP9B4Y",1,16
"68",68,"The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Survey-Nepal Publication Data",2018-10-24,"The PoSHAN surveys were designed to be nationally representative and implemented as an annual assessment of community, household, individual conditions in 21 sub-districts in Nepal from 2013-2016. The aim of the study was to determine a) the links among agriculture, nutrition, health, and b) how exposure to a range of policy and program interventions may influence household food security, poverty, and the diets, health and nutrition of young children, their mothers and nulliparous women of reproductive age. This archive is for datasets associated with publications based on the PoSHAN surveys. The complete survey datasets can be found here; [link]","jhu","doi:10.7281/T1/VAQP5N",4,34
"69",69,"Hydroclimate Research Group",2018-08-24,"The overarching purpose of our research group is to advance understanding of hydroclimate dynamics and of the manner in which hydroclimatic processes interact with ecological and human systems. In the process, we aim to develop tools for improved monitoring and prediction of regional atmospheric processes, landscape hydrology, and, in collaboration with many wonderful colleagues, coupled climate / environment / human systems relevant to human health, food and water security, and preservation of biodiversity.","jhu","doi:10.7281/T1/JYAHTN",4,14
"70",70,"Hydroclimate Research Group",2018-08-24,"The overarching purpose of our research group is to advance understanding of hydroclimate dynamics and of the manner in which hydroclimatic processes interact with ecological and human systems. In the process, we aim to develop tools for improved monitoring and prediction of regional atmospheric processes, landscape hydrology, and, in collaboration with many wonderful colleagues, coupled climate / environment / human systems relevant to human health, food and water security, and preservation of biodiversity.","jhu","doi:10.7281/T1/SQJ7G0",2,2
"71",71,"Hydroclimate Research Group",2018-08-24,"The overarching purpose of our research group is to advance understanding of hydroclimate dynamics and of the manner in which hydroclimatic processes interact with ecological and human systems. In the process, we aim to develop tools for improved monitoring and prediction of regional atmospheric processes, landscape hydrology, and, in collaboration with many wonderful colleagues, coupled climate / environment / human systems relevant to human health, food and water security, and preservation of biodiversity.","jhu","doi:10.7281/T1/T3SA2Z",3,28
"72",72,"Hydroclimate Research Group",2018-08-24,"The overarching purpose of our research group is to advance understanding of hydroclimate dynamics and of the manner in which hydroclimatic processes interact with ecological and human systems. In the process, we aim to develop tools for improved monitoring and prediction of regional atmospheric processes, landscape hydrology, and, in collaboration with many wonderful colleagues, coupled climate / environment / human systems relevant to human health, food and water security, and preservation of biodiversity.","jhu","doi:10.7281/T1/YQDI0F",20,202
"73",73,"Direct Effects of CO2 Radiative Forcing on Ocean Heat Content and Circulation",2018-12-10,NA,"jhu","doi:10.7281/T1/PXCQCC",14,97
"74",74,"The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Study Data Archive",2019-04-23,"The Feed the Future Innovation Lab for Nutrition, with funding from the USAID, conducted a series of four annual surveys – The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Surveys – in Nepal from 2013-2016. The aim of the surveys was to assess nutritional status, diet and morbidity of preschool aged children and their mothers, and recently married, nulliparous women, and household food security, agricultural practices, participation in services and programs, among other factors, and examine associations between agricultural practices and food security, nutritional status, diet and health. The broader goal was guide policy and program interventions that may influence household food security, poverty, and the diets, health and nutrition of pre-school children and their mothers. The PoSHAN surveys were conducted in 21 sub-district units (Village Development Committees, VDCs), in 21 districts, 7 each across the Mountains, Hills and Terai (plains), sampled systematically following a random start. Within each VDC, 3 of 9 wards were systematically sampled, proportional to population size, for a total of 63 wards in the full sample. The PoSHAN surveys were conducted in the same season (~June-August) and wards every year. In addition, 1 VDC, representing an average of the 7 VDCs per zone was surveyed in two additional seasons al (sentinel) surveys to provide year-round agricultural, food security, dietary, nutritional status and other data. The first three were nationally representative (2013, 2014 and 2016) and one was conducted only in the Terai (2015) due to the 2015 Nepal earthquake which mainly affected the Hills and Mountains. This archive contains two collections: datasets for each Annual Survey 2013-2016 and Seasonal Surveys 2013-2015, and datasets associated with publications derived from the PoSHAN study.","jhu",NA,NA,NA
"75",75,"Engaging Men in the HIV Treatment Continuum (Côte d’Ivoire)",2018-12-07,"This project contains formative research and evaluation data related to a USAID-funded project designed to engage men in Côte d’Ivoire in HIV testing and the treatment continuum. Funding was given under two USAID projects: Health Communication Capacity Collaborative (HC3) and Breakthrough ACTION.","jhu",NA,NA,NA
"76",76,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/0JWMF0",2,6
"77",77,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/1MQMFC",2,6
"78",78,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/4WX5QC",1,3
"79",79,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/5UEIRG",2,7
"80",80,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/860JVB",9,9
"81",81,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/8OFLMF",1,4
"82",82,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/8VU7A2",14,29
"83",83,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/D3EV75",2,9
"84",84,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/ENWXRU",1,3
"85",85,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/EWN8ZN",1,4
"86",86,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/GH4EF2",1,5
"87",87,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/KCIPSB",1,5
"88",88,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/KV9KNX",2,7
"89",89,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/KWDKME",22,23
"90",90,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/L4QB1Z",7,16
"91",91,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/M4FJUL",3,10
"92",92,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/MYJBMQ",2,8
"93",93,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/NT8FQN",2,4
"94",94,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/PG105Y",2,5
"95",95,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/UIJLZO",7,12
"96",96,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/UJO8EZ",4,9
"97",97,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/V5DLIW",3,4
"98",98,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/XGVRX0",9,28
"99",99,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/XNZRR8",5,15
"100",100,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/YUHUYN",2,8
"101",101,"Dr. Howard Katz NSF-supported projects",2019-04-08,"This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","jhu","doi:10.7281/T1/ZOW11X",1,2
