"","auth_ID","ru_ID","name","orcid"
"345",345,345,"Kim, Daisy",NA
"346",346,346,"Kim, Dongchul","0000-0002-5659-1394"
"347",347,347,"Kim, Grace E.",NA
"348",348,348,"Kim, Yang-Sook",NA
"349",349,349,"Kirby, Harper L.",NA
"350",350,350,"Kita, Kahori","0000-0001-5002-2863"
"351",351,351,"Kitonsa, Peter J.","0000-0003-2971-216X"
"352",352,352,"Klausen, Rebekka S.",NA
"353",353,353,"Klein, Eili Y.",NA
"354",354,354,"Klein, Sabra L.",NA
"355",355,355,"Klemm, Rolf",NA
"356",356,356,"Knierim, James J.","0000-0002-1796-2930"
"357",357,357,"Knop, Filip K.","0000-0002-2495-5034"
"358",358,358,"Koehler, Kirsten","0000-0002-0516-6945"
"359",359,359,"Koenker, Hannah","0000-0001-8960-4297"
"360",360,360,"Koffi, Alain",NA
"361",361,361,"Koirala, Nikesh",NA
"362",362,362,"Kolodkin, Alex L.","0000-0001-7562-5513"
"363",363,363,"Konapala, Goutam",NA
"364",364,364,"Korangath, Preethi","0000-0002-6623-493X"
"365",365,365,"Koropouli, Eleftheria","0000-0001-8537-4471"
"366",366,366,"Kortylewski, Adam","0000-0002-9146-4403"
"367",367,367,"Koskinen, Tommi T.",NA
"368",368,368,"Kothari, Ninad B","0000-0001-5543-6459"
"369",369,369,"Kouadio Ngnanda, Anne M.",NA
"370",370,370,"Kouadio, Anne Marie",NA
"371",371,371,"Kra, Walter",NA
"372",372,372,"Kraemer, David",NA
"373",373,373,"Krasnow, Janice",NA
"374",374,374,"Krummey, Scott M.","0000-0002-7504-9162"
"375",375,375,"Kumar, Sujay V.","0000-0001-8797-9482"
"376",376,376,"Kusuma, Sravanti",NA
"377",377,377,"LaPenna, Kyle B.","0000-0003-0470-0138"
"378",378,378,"Labrique, Alain B.","0000-0003-2502-7819"
"379",379,379,"Lake, Cynthia",NA
"380",380,380,"Lama, Tsering P.","0000-0001-6054-4075"
"381",381,381,"Lamberty, Zachary D.","0000-0003-2948-9818"
"382",382,382,"Lamperski, Andrew","0000-0003-0383-1830"
"383",383,383,"Lashkari, Shahin G.",NA
"384",384,384,"Ledoux, Kerry",NA
"385",385,385,"Lee, Emma M.",NA
"386",386,386,"Lee, Heonjoon","0000-0001-5129-5740"
"387",387,387,"Lee, Taein","0000-0001-8176-9759"
"388",388,388,"Lee, Yoon Kyong",NA
"389",389,389,"Lefer, David","0000-0003-2293-7278"
"390",390,390,"Legesse, Hailemariam","0000-0001-5086-0744"
"391",391,391,"Levy, Dino","0000-0003-4290-7762"
"392",392,392,"Lewicky, Nan",NA
"393",393,393,"Lewis, Kevin","0000-0003-3412-803X"
"394",394,394,"Lewis, Nikole K.","0000-0002-8507-1304"
"395",395,395,"Li, Brian Y.","0000-0002-3055-4202"
"396",396,396,"Li, Hantian","0000-0003-1119-2792"
"397",397,397,"Li, Hongjie","0000-0002-7332-7122"
"398",398,398,"Li, Hui","0000-0002-3826-0735"
"399",399,399,"Li, Xintong",NA
"400",400,400,"Li, Yizeng","0000-0001-7916-0741"
"401",401,401,"Li, Yuguo",NA
"402",402,402,"Li, Zizhang",NA
"403",403,403,"Liang, Wu","0000-0003-1696-7809"
"404",404,404,"Lima, Joao A.",NA
"405",405,405,"Lin, Chun-Chieh","0000-0001-9679-4287"
"406",406,406,"Liu, Hsuan","0000-0002-0806-7643"
"407",407,407,"Liu, Jie",NA
"408",408,408,"Liu, Melody",NA
"409",409,409,"Liu, Pang-Wei","0000-0002-3789-594X"
"410",410,410,"Liu, Qihao",NA
"411",411,411,"Liu, Yixin",NA
"412",412,412,"Livi, Kenneth J.T.","0000-0001-7728-5460"
"413",413,413,"Locke, Kim A.","0000-0001-9891-4801"
"414",414,414,"Long, Andrew","0000-0003-1120-1679"
"415",415,415,"Lonsdale, Mary C.",NA
"416",416,416,"Lorah, Michelle M.","0000-0002-9236-587X"
"417",417,417,"Lowetz, Christopher","0009-0008-1599-3419"
"418",418,418,"Lu, Chengchangfeng",NA
"419",419,419,"Lu, Hanzhang","0000-0003-3871-1564"
"420",420,420,"Luo, Yue","0000-0002-2757-5395"
"421",421,421,"Lurtz, Casey Marina","0000-0003-4244-5844"
"422",422,422,"Luthra, Aman","0000-0002-8574-7271"
"423",423,423,"Ma, Zexu",NA
"424",424,424,"MacDonald, Lauren",NA
"425",425,425,"Madan, Deepa","0000-0002-0061-2715"
"426",426,426,"Madhav, Manu S.","0000-0001-5317-8492"
"427",427,427,"Magnuson, Thomas M.",NA
"428",428,428,"Mahanama, Sarith P.",NA
"429",429,429,"Malecka-Grajek, Ewelina","0000-0001-8482-7897"
"430",430,430,"Malinina, Alla",NA
"431",431,431,"Malkin, Sairah Y.","0000-0002-7523-1589"
"432",432,432,"Mallalieu, Elizabeth C.","0000-0003-0724-7826"
"433",433,433,"Manohar, Swetha","0000-0003-4042-8952"
"434",434,434,"Marinho, Paula",NA
"435",435,435,"Marley, Mark S.","0000-0002-5251-2943"
"436",436,436,"Marlin-Bennett, Renée","0000-0002-4341-0064"
"437",437,437,"Marra, Steven",NA
"438",438,438,"Marsh, Andrew",NA
"439",439,439,"Marton, Tanya",NA
"440",440,440,"Mathur, Deepti",NA
"441",441,441,"Maxwell, R.M.",NA
"442",442,442,"May, K. Patrick",NA
"443",443,443,"Mayarambakam, Sasikumar","0000-0001-8745-4272"
"444",444,444,"Maïga, Abdoulaye","0000-0002-0475-1106"
"445",445,445,"Małecka, Ewelina M.","0000-0001-8482-7897"
"446",446,446,"Mburu, Monicah M.","0000-0001-8846-0615"
"447",447,447,"McArthur, Benjamin",NA
"448",448,448,"McArthur, Kristen","0000-0001-5601-1583"
"449",449,449,"McCoy, Rajiv C","0000-0003-0615-146X"
"450",450,450,"McDonnell, Rachael","0000-0002-0525-4582"
"451",451,451,"McGarity, Micajah Z.","0000-0001-7323-0526"
"452",452,452,"McGuiggan, Patricia",NA
"453",453,453,"McMeniman, Conor","0000-0001-8502-8712"
"454",454,454,"Mehoke, Thomas",NA
"455",455,455,"Mejías, Rebeca","0000-0003-1936-7219"
"456",456,456,"Mekonnen, Yared","0000-0003-0227-2272"
"457",457,457,"Melvin, Sophia J.","0009-0001-8395-8278"
"458",458,458,"Men, Silu",NA
"459",459,459,"Meneveau, Charles","0000-0001-6947-3605"
"460",460,460,"Menuz, Karen","0000-0001-8163-094"
"461",461,461,"Menzel, Molly E.","0000-0002-9598-2996"
"462",462,462,"Merlis, Timothy M.","0000-0002-5593-8210"
"463",463,463,"Meyers, Johan","0000-0002-2828-4397"
"464",464,464,"Michos, Erin D.","0000-0002-5547-5084"
"465",465,465,"Miller III, Edgar R.",NA
"466",466,466,"Miller, Jeremiah",NA
"467",467,467,"Miller, Nathan P.",NA
"468",468,468,"Ming, Chen","0000-0001-6124-1420"
"469",469,469,"Mishra, Sumita","0000-0002-6455-4075"
"470",470,470,"Mittelstadt, Jonah","0000-0001-6738-5556"
"471",471,471,"Mladenova, Iliana E.",NA
"472",472,472,"Mleme, Tiope",NA
"473",473,473,"Moats, Michelle",NA
"474",474,474,"Mocko, David M.","0000-0001-8688-5708"
"475",475,475,"Mohammed, Adbul M.",NA
"476",476,476,"Moore, Joel","0000-0002-5546-9610"
"477",477,477,"Moran, Sarah E.","0000-0002-6721-3284"
"478",478,478,"Morgan, Stephen L.","0000-0003-2198-1381"
"479",479,479,"Morley, Caroline V.",NA
"480",480,480,"Morris, Paul",NA
"481",481,481,"Morris, Shaina",NA
"482",482,482,"Moses, Julianne I.","0000-0002-8837-0035"
"483",483,483,"Moss, Cynthia F","0000-0001-6916-0000"
"484",484,484,"Mostafa, Heba H.",NA
"485",485,485,"Mould, Andrew","0000-0002-5550-0286"
"486",486,486,"Moulton, Lawrence H.","0000-0001-7041-7387"
"487",487,487,"Moura, Matthew E.",NA
"488",488,488,"Mu, Jiteng",NA
"489",489,489,"Mueller, Timothy",NA
"490",490,490,"Mukherjee, Sudipta",NA
"491",491,491,"Mukhopadhyaya, Tushita","0000-0002-8053-9668"
"492",492,492,"Mukiibi, James",NA
"493",493,493,"Mullany, Luke C.","0000-0003-4668-9803"
"494",494,494,"Munos, Melinda","0000-0002-1349-8026"
"495",495,495,"Munoz, Beatriz",NA
"496",496,496,"Munthali, Spy",NA
"497",497,497,"Murphy, Ryan","0000-0003-3065-7700"
"498",498,498,"Murphy, Terence M.",NA
"499",499,499,"Murugan, Arvind",NA
"500",500,500,"Muschelli, John",NA
"501",501,501,"Mwaikambo, Lisa",NA
"502",502,502,"Nakasolya, Olga",NA
"503",503,503,"Nalutaaya, Annet","0000-0003-3903-303X"
"504",504,504,"Nataf, David M.","0000-0001-5825-4431"
"505",505,505,"Naugle, Danielle",NA
"506",506,506,"Navab, Nassir","0000-0002-6032-5611"
"507",507,507,"Navari, Mahdi","0000-0003-0332-4580"
