"","grant_ID","ds_ID","agency_ID"
"39",39,"doi.org/10.7281/T1SF2T31",38
"40",40,"doi.org/10.7281/T1/ZHG9BB",20
"41",41,"doi.org/10.7281/T1/4AJ8Y1",45
"42",42,"doi.org/10.7281/T1/SQ6FO9",40
"43",43,"doi.org/10.7281/T1/KV9KNX",40
"44",44,"doi.org/10.7281/T1/TNHLOJ",10
"45",45,"doi.org/10.7281/T1/AWJUGZ",40
"46",46,"doi.org/10.7281/T1/YOFR1E",38
"47",47,"doi.org/10.7281/T1/EOPWE4",38
"48",48,"doi.org/10.7281/T1/IJO1FU",40
"49",49,"doi.org/10.7281/T1/VWQ4J3",12
"50",50,"doi.org/10.7281/T1/I3ILXO",36
"51",51,"doi.org/10.7281/T1/QGOMA0",31
"52",52,"doi.org/10.7281/T1/MYJBMQ",40
"53",53,"doi.org/10.7281/T1/CRHEAH",49
"54",54,"doi.org/10.7281/T1/W2AG3A",38
"55",55,"doi.org/10.7281/T1/BNSVVD",9
"56",56,"doi.org/10.7281/T1/BT02SS",9
"57",57,"doi.org/10.7281/T1/PG105Y",40
"58",58,"doi.org/10.7281/T1/NT8FQN",40
"59",59,"doi.org/10.7281/T1/0JWMF0",40
"60",60,"doi.org/10.7281/T1/D3EV75",40
"61",61,"doi.org/10.7281/T1/B660D2",21
"62",62,"doi.org/10.7281/T1/5UEIRG",40
"63",63,"doi.org/10.7281/T1/7IXSOP",40
"64",64,"doi.org/10.7281/T1/YUHUYN",40
"65",65,"doi.org/10.7281/T1/1MQMFC",40
"66",66,"doi.org/10.7281/T1/F1GCSB",38
"67",67,"doi.org/10.7281/T1/YC5BS6",38
"68",68,"doi.org/10.7281/T1/AGLFQ2",33
"69",69,"doi.org/10.7281/T1C8276W",42
"70",70,"doi.org/10.7281/T1/ZPGBJW",5
"71",71,"doi.org/10.7281/T1/CLTDND",38
"72",72,"doi.org/10.7281/T1/LW2H2F",18
"73",73,"doi.org/10.7281/T1/2K70CX",47
"74",74,"doi.org/10.7281/T1/T3SA2Z",28
"75",75,"doi.org/10.7281/T1/VZZOJB",40
"76",76,"doi.org/10.7281/T1/M4FJUL",40
"77",77,"doi.org/10.7281/T1/DTCK4M",35
"78",78,"doi.org/10.7281/T1/PXEROL",37
"79",79,"doi.org/10.7281/T1/2PGJQU",38
"80",80,"doi.org/10.7281/T1/V5DLIW",40
"81",81,"doi.org/10.7281/T18G8HM0",25
"82",82,"doi.org/10.7281/T1D798BQ",15
"83",83,"doi.org/10.7281/T1/L8UP2G",47
"84",84,"doi.org/10.7281/T1/KOSYGQ",30
"85",85,"doi.org/10.7281/T1/VAQP5N",47
"86",86,"doi.org/10.7281/T1/7WXPIN",40
"87",87,"doi.org/10.7281/T1/87PH8T",38
"88",88,"doi.org/10.7281/T1/JYAHTN",31
"89",89,"doi.org/10.7281/T1/QISGRU",40
"90",90,"doi.org/10.7281/T1/ZPJZJC",40
"91",91,"doi.org/10.7281/T1/HVRF8B",40
"92",92,"doi.org/10.7281/T1/6I0KPP",40
"93",93,"doi.org/10.7281/T1/RTSGO0",38
"94",94,"doi.org/10.7281/T1/AZ8G3G",44
"95",95,"doi.org/10.7281/T1/LJ9FLW",31
"96",96,"doi.org/10.7281/T1/EHSEV2",2
"97",97,"doi.org/10.7281/T1/2DKJB2",38
"98",98,"doi.org/10.7281/T1/8BOXVM",38
"99",99,"doi.org/10.7281/T1/UJO8EZ",40
"100",100,"doi.org/10.7281/T1/HW66X3",38
"101",101,"doi.org/10.7281/T1VD6WC7",25
"102",102,"doi.org/10.7281/T1QN64NW",25
"103",103,"doi.org/10.7281/T1/Y2PVKD",31
"104",104,"doi.org/10.7281/T1/6JMKIG",40
"105",105,"doi.org/10.7281/T1/UMDMQK",47
"106",106,"doi.org/10.7281/T1/EM61IB",47
"107",107,"doi.org/10.7281/T1/FWDYPW",23
"108",108,"doi.org/10.7281/T1/4ZCOC4",31
"109",109,"doi.org/10.7281/T1/XNZRR8",40
"110",110,"doi.org/10.7281/T1/NEACHP",31
"111",111,"doi.org/10.7281/T1/EQKCFP",38
"112",112,"doi.org/10.7281/T1/8DBUAP",38
"113",113,"doi.org/10.7281/T1/UP8RWD",38
"114",114,"doi.org/10.7281/T1/SMICE5",38
"115",115,"doi.org/10.7281/T1KW5CX5",25
"116",116,"doi.org/10.7281/T1/J8UWFU",38
"117",117,"doi.org/10.7281/T1/DG7RDP",39
"118",118,"doi.org/10.7281/T1/ZQZX80",40
"119",119,"doi.org/10.7281/T1/4RZTRN",38
"120",120,"doi.org/10.7281/T1/T81CEP",18
"121",121,"doi.org/10.7281/T1/RECXQW",31
"122",122,"doi.org/10.7281/T1/KGCGBM",9
"123",123,"doi.org/10.7281/T1/AVOEQR",38
"124",124,"doi.org/10.7281/T1/C8BCOW",9
"125",125,"doi.org/10.7281/T1/VNFY91",2
"126",126,"doi.org/10.7281/T1/C6MCOX",40
"127",127,"doi.org/10.7281/T1F769G3",46
"128",128,"doi.org/10.7281/T1/IFSXNV",38
"129",129,"doi.org/10.7281/T1/0EYOMQ",31
"130",130,"doi.org/10.7281/T1/L4QB1Z",40
"131",131,"doi.org/10.7281/T1/OOMZS7",21
"132",132,"doi.org/10.7281/T1/LQMJJM",38
"133",133,"doi.org/10.7281/T1/0L0OA0",38
"134",134,"doi.org/10.7281/T1/PIVKJ7",40
"135",135,"doi.org/10.7281/T1/UIJLZO",40
"136",136,"doi.org/10.7281/T1057CVH",54
"137",137,"doi.org/10.7281/T1/UXPNT5",47
"138",138,"doi.org/10.7281/T1/X4MXHC",47
"139",139,"doi.org/10.7281/T1/NU0VS7",51
"140",140,"doi.org/10.7281/T1/KTOG9W",38
"141",141,"doi.org/10.7281/T1/VXGDYH",38
"142",142,"doi.org/10.7281/T1154F09",54
"143",143,"doi.org/10.7281/T1/BCARLC",38
"144",144,"doi.org/10.7281/T1/XGVRX0",40
"145",145,"doi.org/10.7281/T1/NLHSKE",19
"146",146,"doi.org/10.7281/T1/K08BJZ",22
"147",147,"doi.org/10.7281/T1/SWU4P8",38
"148",148,"doi.org/10.7281/T1/860JVB",40
"149",149,"doi.org/10.7281/T1/WVDKQI",9
"150",150,"doi.org/10.7281/T1/YPUEQT",38
"151",151,"doi.org/10.7281/T1/UDTJPD",40
"152",152,"doi.org/10.7281/T1/9VJGPI",38
"153",153,"doi.org/10.7281/T1/5QMDY6",40
"154",154,"doi.org/10.7281/T1W66HPZ",40
"155",155,"doi.org/10.7281/T1/NL3HTW",39
"156",156,"doi.org/10.7281/T1/FTCWPF",29
"157",157,"doi.org/10.7281/T1/UZIT7C",31
"158",158,"doi.org/10.7281/T1/2QCZXM",17
"159",159,"doi.org/10.7281/T1/AVEV7M",38
"160",160,"doi.org/10.7281/T1/BDLMJG",43
"161",161,"doi.org/10.7281/T1/H1ZPLI",38
"162",162,"doi.org/10.7281/T1/I0H3GY",38
"163",163,"doi.org/10.7281/T1/TLEBVW",40
"164",164,"doi.org/10.7281/T1/IWOVKD",39
"165",165,"doi.org/10.7281/T1/VZYIRV",38
"166",166,"doi.org/10.7281/T1/XTSKOW",40
"167",167,"doi.org/10.7281/T1/FIS2QT",40
"168",168,"doi.org/10.7281/T1/VWR4GR",31
"169",169,"doi.org/10.7281/T1/PXCQCC",41
"170",170,"doi.org/10.7281/T1/8VU7A2",40
"171",171,"doi.org/10.7281/T1/WVEABK",38
"172",172,"doi.org/10.7281/T1/OM3OMQ",40
"173",173,"doi.org/10.7281/T1/NTWJAR",14
"174",174,"doi.org/10.7281/T1/HRK27V",38
"175",175,"doi.org/10.7281/T1/7ELIJW",24
"176",176,"doi.org/10.7281/T1/AUBBJD",39
"177",177,"doi.org/10.7281/T1/C304HZ",38
"178",178,"doi.org/10.7281/T1/YQDI0F",27
"179",179,"doi.org/10.7281/T1/IHPXXR",38
"180",180,"doi.org/10.7281/T1/KWDKME",40
"181",181,"doi.org/10.7281/T1/DX9DL8",15
"182",182,"doi.org/10.7281/T1/OY2X8T",38
"183",183,"doi.org/10.7281/T1/VNEEJB",31
"184",184,"doi.org/10.7281/T1/CZDPSX",6
"185",185,"doi.org/10.7281/T1/QS3QFT",40
"186",186,"doi.org/10.7281/T1/C4RVLS",38
"187",187,"doi.org/10.7281/T1/YZKNJ6",40
"188",188,"doi.org/10.7281/T1/IVVFCM",13
"189",189,"doi.org/10.7281/T1/XTJ1YP",40
"190",190,"doi.org/10.7281/T1/1ECVB0",31
"191",191,"doi.org/10.7281/T1/BMATHH",38
"192",192,"doi.org/10.7281/T1/D06YVM",8
"193",193,"doi.org/10.7281/T1/CUEL0W",7
"194",194,"doi.org/10.7281/T1/UBSZF1",40
"195",195,"doi.org/10.7281/T1/A9NKJ7",40
"196",196,"doi.org/10.7281/T1/HWU9TZ",9
"197",197,"doi.org/10.7281/T1/CGBG4F",31
"198",198,"doi.org/10.7281/T1/SQJ7G0",31
"199",199,"doi.org/10.7281/T1/F5PD42",48
"200",200,"doi.org/10.7281/T1/XFNORD",40
"201",201,"doi.org/10.7281/T1/AOTRD6",16
"202",202,"doi.org/10.7281/T1/0HWVS1",38
"203",203,"doi.org/10.7281/T1/GTUUUG",38
"204",204,"doi.org/10.7281/T1/IRL0IE",38
"205",205,"doi.org/10.7281/T1/JDHWJN",38
"206",206,"doi.org/10.7281/T1/VEORXP",38
"207",207,"doi.org/10.7281/T1/IZMSNX",40
"208",208,"doi.org/10.7281/T1/WYN7FI",40
"209",209,"doi.org/10.7281/T1/V4BATB",40
"210",210,"doi.org/10.7281/T1/FPN6MI",38
"211",211,"doi.org/10.7281/T1/THLC8N",50
"212",212,"doi.org/10.7281/T1/KOTDPY",31
"213",213,"doi.org/10.7281/T1/RE5GOK",40
"214",214,"doi.org/10.7281/T1/RDLYMJ",38
