"","auth_id","name","reg_id"
"180","92","Cho, Kyoung-A",NA
"181","93","Chongyu, Qu",NA
"182","0000-0002-4335-0903","Chow, Margaret R.",NA
"183","0000-0001-5135-4747","Chow, Steven J.",NA
"184","0000-0003-1058-7370","Chung, Erin A.",NA
"185","0000-0003-1058-7370","Chung, Erin A.",NA
"186","0000-0001-6801-8010","Cinque, Gianfelice",NA
"187","94","Cisse, Adama",NA
"188","95","Cisse, Adama",NA
"189","0000-0002-0468-6420","Clancy, Paulette",NA
"190","0000-0002-0468-6420","Clancy, Paulette",NA
"191","0000-0002-0468-6420","Clancy, Paulette",NA
"192","0000-0002-0468-6420","Clancy, Paulette",NA
"193","0000-0002-0468-6420","Clancy, Paulette",NA
"194","0000-0001-9707-8004","Clark, Vincent",NA
"195","0000-0001-9707-8004","Clark, Vincent",NA
"196","0000-0002-9278-0854","Clarke, Robert",NA
"197","96","Coderre, Emily L.",NA
"198","0000-0002-5194-3055","Coffin, Rachel",NA
"199","0000-0002-5194-3055","Coffin, Rachel",NA
"200","97","Cohen, Gregory S.",NA
"201","0000-0002-4859-1298","Cole, Joshua",NA
"202","98","Coleman, Richard",NA
"203","0000-0001-7111-2489","Cornwell, Jeffrey",NA
"204","0000-0003-1431-9832","Corver, Abel",NA
"205","0000-0003-1431-9832","Corver, Abel",NA
"206","0000-0001-9121-532X","Cosans, Cassandra L.",NA
"207","0000-0003-1469-8879","Courtney, Susan M.",NA
"208","0000-0003-1469-8879","Courtney, Susan M.",NA
"209","0000-0003-2502-3770","Cowan,  Noah J.",NA
"210","0000-0003-2502-3770","Cowan, Noah J.",NA
"211","0000-0003-2502-3770","Cowan, Noah J.",NA
"212","0000-0003-2502-3770","Cowan, Noah J.",NA
"213","0000-0003-2502-3770","Cowan, Noah J.",NA
"214","0000-0003-2502-3770","Cowan, Noah J.",NA
"215","0000-0003-2502-3770","Cowan, Noah J.",NA
"216","0000-0003-2502-3770","Cowan, Noah J.",NA
"217","0000-0003-2502-3770","Cowan, Noah J.",NA
"218","0000-0003-2502-3770","Cowan, Noah J.",NA
"219","0000-0003-2502-3770","Cowan, Noah J.",NA
"220","0000-0003-2502-3770","Cowan, Noah J.",NA
"221","0000-0003-2502-3770","Cowan, Noah J.",NA
"222","0000-0003-2502-3770","Cowan, Noah J.",NA
"223","0000-0003-2502-3770","Cowan, Noah J.",NA
"224","99","Cox, Andrea L.",NA
"225","100","Crowley, James L.",NA
"226","0000-0002-8985-0372","Cui, Minming",NA
"227","0000-0002-9348-0933","Cullen, Kathleen E.",NA
"228","0000-0001-8739-2542","Currás, Netzahualcóyotl Arroyo",NA
"229","101","Dailey, Jennifer",NA
"230","102","Dailly-Ajavon, Patricia",NA
"231","103","Dailly-Ajavon, Patricia",NA
"232","0000-0001-7635-2705","Damjanovic, Ana",NA
"233","0000-0001-7635-2705","Damjanovic, Ana",NA
"234","0000-0002-1448-7919","Daniel, Isabelle",NA
"235","0000-0002-1139-9235","DeCoster, Mallory E.",NA
"236","104","DeCoster, Mallory E.",NA
"237","0000-0002-1139-9235","Decoster, Mallory E.",NA
"238","105","Degefie, Tedbabe",NA
"239","0000-0002-0509-5200","Della Santina, Charles C.",NA
"240","106","Delwiche, Kyle",NA
"241","107","Demir, Alican",NA
"242","108","Demir, Alican",NA
"243","0000-0003-3111-8629","Deng, Siming",NA
"244","0000-0002-4494-8608","Dhakal, Santosh",NA
"245","109","Dickinson, Laura E.",NA
"246","110","Dickinson, Laura E.",NA
"247","111","Dickinson, Laura E.",NA
"248","112","Dikeman, Dustin",NA
"249","113","Dillow, Brandon",NA
"250","114","Dixon, Eryn E.",NA
"251","0000-0002-4584-4819","Doiron, Jake",NA
"252","0000-0002-0439-9982","Dominique, Nathaniel L.",NA
"253","115","Dosso, Abdul",NA
"254","116","Dosso, Abdul",NA
"255","117","Dosso, Abdul",NA
"256","118","Dowdy, David",NA
"257","0000-0003-0481-7475","Dowdy, David W.",NA
"258","0000-0003-0481-7475","Dowdy, David W.",NA
"259","0000-0003-0481-7475","Dowdy, David W.",NA
"260","119","Dowdy, David W.",NA
"261","0000-0003-4393-0403","Droege, Sam",NA
"262","0000-0001-6161-5525","Du, Chen",NA
"263","0000-0001-5933-6308","Duan, Wenzhen",NA
"264","0000-0001-5973-0524","Duckworth, Andrew R.",NA
"265","0000-0002-8685-0027","Dukhanin, Vadim",NA
"266","120","Durant, Neal D.",NA
"267","121","Dziedzic, Amanda",NA
"268","122","Dziedzic, Amanda",NA
"269","123","Dziedzic, Amanda",NA
"270","0000-0002-6115-9811","Eberle, Wolfgang",NA
"271","0000-0001-8641-755X","Edge, Albert S.B.",NA
"272","124","Edison, John R.",NA
"273","125","Edwards, Tara D.",NA
"274","126","Edwards, Tara D.",NA
"275","127","Eggen, Michael",NA
"276","0000-0002-1731-0879","Ekowo, Lilian C.",NA
"277","0000-0002-8860-3484","Eldesouki, Raghda E.",NA
"278","128","Ellis, Hugh",NA
"279","0000-0003-0936-0865","Elsey, Jacob",NA
"280","129","Emeric, Erik",NA
"281","130","Ermac, Ardie Bolanon",NA
"282","0000-0003-1113-4103","Ernlund, Amanda W.",NA
"283","0000-0002-1432-5952","Escribano, Benjamin",NA
"284","131","Evans, Jared",NA
"285","0000-0002-8383-4259","Falk, Michael L.",NA
"286","0000-0002-8383-4259","Falk, Michael L.",NA
"287","132","Fall, Amary",NA
"288","133","Fall, Amary",NA
"289","134","Fan, Huidong",NA
"290","135","Fan, Huidong",NA
"291","0000-0002-0773-7473","Fan, Xinhao",NA
"292","136","Feed the Future Innovation Lab for Nutrition",NA
"293","137","Feed the Future Innovation Lab for Nutrition",NA
"294","0000-0003-1139-3711","Fenstermacher, Katherine",NA
"295","0000-0003-1139-3711","Fenstermacher, Katherine",NA
"296","0000-0003-1139-3711","Fenstermacher, Katherine Z.",NA
"297","0000-0002-8296-537X","Fenwick, Axel",NA
"298","138","Feole, Brandon",NA
"299","139","Fern, Joshua",NA
"300","0000-0002-1267-8156","Fernandez Brillet, Celia",NA
"301","140","Ferraro, Francis",NA
"302","141","Fitzgerald, Zachary B.",NA
"303","0000-0001-7190-7396","Flandinet, Laurène",NA
"304","0000-0002-6621-6096","Foote, Jeremy",NA
"305","142","Fortune, Eric S.",NA
"306","0000-0001-6447-5425","Fortune, Eric S.",NA
"307","0000-0001-6447-5425","Fortune, Eric S.",NA
"308","0000-0001-6447-5425","Fortune, Eric S.",NA
"309","0000-0001-6447-5425","Fortune, Eric S.",NA
"310","0000-0001-6447-5425","Fortune, Eric S.",NA
"311","0000-0001-6447-5425","Fortune, Eric, S.",NA
"312","0000-0001-9397-4282","Fox-Talbot, Karen",NA
"313","0000-0001-5680-6554","Frechette, Joelle",NA
"314","143","Fuerst, Bernhard",NA
"315","0000-0003-3901-4357","Gabrielson, Kathleen",NA
"316","144","Gale, John T.",NA
"317","0000-0003-3851-3218","Ganley, Connor",NA
"318","0000-0003-3851-3218","Ganley, Connor",NA
"319","145","Ganley, Connor",NA
"320","0000-0003-3851-3218","Ganley, Connor",NA
"321","0000-0003-3851-3218","Ganley, Connor",NA
"322","0000-0003-3851-3218","Ganley, Connor",NA
"323","146","Gao, Anne L.",NA
"324","0000-0001-6798-8381","Gao, Cong",NA
"325","0000-0001-6798-8381","Gao, Cong",NA
"326","147","Gao, Cong",NA
"327","148","García Villa, Anayeli",NA
"328","0000-0002-9794-5056","Gautier, Thomas",NA
"329","0000-0002-9794-5056","Gautier, Thomas",NA
"330","0000-0003-0330-415X","Gayme, Dennice F.",NA
"331","149","Gensbigler, Paul",NA
"332","0000-0002-8542-4835","Gerecht, Sharon",NA
"333","0000-0002-8542-4835","Gerecht, Sharon",NA
"334","0000-0002-8542-4835","Gerecht, Sharon",NA
"335","0000-0002-8542-4835","Gerecht, Sharon",NA
"336","0000-0002-8542-4835","Gerecht, Sharon",NA
"337","0000-0002-8542-4835","Gerecht, Sharon",NA
"338","0000-0001-9635-7220","Getirana, Augusto",NA
"339","150","Ghotbi, Reza",NA
"340","151","Gidner, Sarah",NA
"341","0000-0002-7617-3544","Gillette, Thomas",NA
"342","0000-0002-3704-9217","Gilman, Robert",NA
"343","0000-0001-9723-8530","Ginty, David D.",NA
"344","0000-0002-6552-3297","Giraldo, Diego",NA
"345","0000-0002-6552-3297","Giraldo, Diego",NA
"346","152","Glickman, Moshe",NA
"347","0000-0003-3135-658X","Glowatzki, Elisabeth",NA
"348","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"349","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"350","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"351","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"352","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"353","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"354","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"355","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"356","0000-0001-5784-1116","Gnanadesikan, Anand",NA
"357","153","Gohlke, Julia M.",NA
"358","154","Golding, Hana",NA
"359","0000-0002-9707-350X","Gomes, Maya",NA
"360","0000-0002-9707-350X","Gomes, Maya L.",NA
"361","0000-0002-9707-350X","Gomes, Maya L.",NA
"362","155","Gomes, Menandro",NA
"363","0000-0002-6799-1561","Gong, Yu-Nong",NA
"364","0000-0002-9936-7034","Gonzalez-Martinez, Jorge A.",NA
"365","0000-0001-9234-2806","Goodchild, Traci",NA
"366","156","Goodwill, Patrick",NA
"367","157","Gordon, Barry",NA
"368","0000-0002-5550-0286","Gordus, Andrew",NA
"369","0000-0002-5550-0286","Gordus, Andrew",NA
"370","158","Gormley, Matthew R.",NA
"371","0000-0003-2735-4725","Gracias, David H.",NA
"372","159","Green, Ariel",NA
"373","0000-0003-3386-5839","Grupp, Robert",NA
"374","0000-0003-3386-5839","Grupp, Robert",NA
"375","0000-0003-3386-5839","Grupp, Robert B.",NA
"376","0000-0002-8271-1281","Grüttner, Cordula",NA
"377","160","Gu, Junyao",NA
"378","0000-0002-4471-9565","Guallar, Eliseo",NA
"379","0000-0001-6655-7862","Guckenheimer, John",NA
"380","0000-0001-8525-340X","Guiella, Georges",NA
"381","161","Guo, Mengqi",NA
"382","162","Guo, Xin",NA
"383","0000-0001-6769-7322","Gutman, Julie",NA
"384","163","Habi, Oumarou",NA
"385","164","Hacker, Bradley R.",NA
"386","0000-0002-7846-9226","Hafez, Omar A.",NA
"387","165","Hageman, Kristin N.",NA
"388","0000-0003-4580-9893","Hahn, Isabel",NA
"389","0000-0002-5658-8654","Haith, Adrian M.",NA
"390","0000-0002-5658-8654","Haith, Adrian M.",NA
"391","0000-0002-5658-8654","Haith, Adrian M.",NA
"392","166","Hall, Anthony S.",NA
"393","0009-0006-5089-717X","Hall, Grant",NA
"394","0000-0002-7993-4214","Hamer, Jacob",NA
"395","0000-0002-7993-4214","Hamer, Jacob H.",NA
"396","0000-0002-1757-5009","Hammond, Andrew",NA
"397","167","Han, Jinfeng",NA
"398","0000-0002-6140-4522","Han, Jinfeng",NA
"399","168","Han, Jinfeng",NA
"400","0000-0002-6140-4522","Han, Jinfeng",NA
"401","169","Han, Jinfeng",NA
"402","170","Han, Jinfeng",NA
"403","0000-0002-6140-4522","Han, Jinfeng",NA
"404","171","Hand, Randal",NA
"405","0000-0002-3039-9206","Hanjaya-Putra, Donny",NA
"406","0000-0002-3039-9206","Hanjaya-Putra, Donny",NA
"407","172","Hanjaya-Putra, Donny",NA
"408","173","Hanley, Daniel",NA
"409","0000-0003-2298-8382","Hanson, Lavender E.",NA
"410","0000-0002-9334-9839","Hantsoo, Kalev",NA
"411","0000-0002-9334-9839","Hantsoo, Kalev G.",NA
"412","0000-0003-0453-0300","Haque, Razi M.",NA
"413","0000-0002-0205-7161","Harihar, Vinayak",NA
"414","174","Harman, C.J.",NA
"415","0000-0002-3185-002X","Harman, Ciaran J.",NA
"416","0000-0002-3185-002X","Harman, Ciaran J.",NA
"417","0000-0002-3185-002X","Harman, Ciaran J.",NA
"418","175","Harman, Craig",NA
"419","0000-0002-7907-8139","Harris, John A.",NA
"420","176","Hart, Joanna L.",NA
"421","0000-0001-6936-0213","Harvey, Steven A",NA
"422","177","Hashem, Mohamed D.",NA
"423","178","Hashem, Mohamed D.",NA
"424","0000-0002-9176-3278","Hazel, Elizabeth",NA
"425","0000-0002-9176-3278","Hazel, Elizabeth",NA
"426","179","Hazra, Abheera",NA
"427","180","He, Chao",NA
"428","0000-0002-6694-0965","He, Chao",NA
"429","0000-0002-6694-0965","He, Chao",NA
"430","0000-0002-6694-0965","He, Chao",NA
"431","0000-0002-6694-0965","He, Chao",NA
"432","181","He, Yan",NA
"433","182","Healy, Sean",NA
"434","183","Healy, Sean",NA
"435","184","Heckbert, Susan R.",NA
"436","0000-0003-2869-8773","Hegeman, Rachel",NA
"437","0000-0003-2869-8773","Hegeman, Rachel A.",NA
"438","185","Heidkamp, Rebecca A.",NA
"439","186","Hemond, Harold",NA
"440","187","Hendrickson, Zoé",NA
"441","0000-0003-2057-2463","Hendrickson, Zoé M.",NA
"442","0000-0001-6004-5655","Herndon, Christopher N.",NA
"443","188","Hickman, Clara",NA
"444","0000-0002-4893-4561","Higgins, John A.",NA
"445","0000-0002-5379-1614","Hill, Joseph A.",NA
"446","189","Hill, Kenneth",NA
"447","190","Hill, Kenneth H.",NA
"448","0000-0001-9939-0640","Hinault, Thomas",NA
"449","0000-0001-9939-0640","Hinault, Thomas",NA
"450","191","Hinton, Amanda",NA
"451","0000-0002-4486-3057","Hirtz, Jan J.",NA
"452","192","Ho, Chia Chi",NA
"453","193","Ho, Lara S",NA
"454","0000-0003-1783-3597","Hobbs, Benjamin F.",NA
"455","0000-0003-1783-3597","Hobbs, Benjamin F.",NA
"456","194","Hoffman, Christina",NA
"457","195","Hoffman, Kathleen",NA
"458","196","Hoffmann, Christopher J.",NA
"459","0000-0002-9422-0519","Hoffmann, Christopher J.",NA
"460","197","Holder, Chris",NA
"461","0000-0003-3321-5959","Holder, Christopher",NA
"462","0000-0002-1119-6905","Holder, Robert M.",NA
"463","0000-0002-4651-0079","Holmes, Thomas R.",NA
"464","0000-0001-6853-3805","Holst, Jens J.",NA
"465","198","Holzenberger, Nils",NA
"466","0000-0003-2399-4653","Hoogeveen, Ron C.",NA
"467","0000-0002-3403-743X","Hopkins, Patrick E.",NA
"468","199","Hopkins, Patrick E.",NA
"469","200","Hopkins, Patrick E.",NA
"470","201","Hopkins, Patrick E.",NA
"471","202","Hopkins, Patrick E.",NA
"472","0000-0003-4274-4406","Hristova, Kalina",NA
"473","0000-0003-4672-1981","Hu, Chen",NA
"474","203","Hu, Qin",NA
"475","204","Hu, Qin",NA
"476","205","Hu, Yicheng",NA
"477","0000-0002-6838-3701","Huang, Chien-Ming",NA
"478","206","Huang, Jin",NA
"479","0000-0002-5274-1068","Huang, Jingyi",NA
"480","207","Huang, Jiyuan",NA
"481","208","Huang, Qi",NA
"482","0000-0002-3826-0735","Hui, Li",NA
"483","209","Humes, Michael",NA
"484","0000-0003-0968-208X","Hur, Jinhee",NA
"485","0000-0002-1927-0970","Hussain Shuler, Marshall G.",NA
"486","210","Hutfless, Susan",NA
"487","0000-0003-4596-0702","Hörst, Sarah M",NA
"488","0000-0003-4596-0702","Hörst, Sarah M.",NA
"489","0000-0003-4596-0702","Hörst, Sarah M.",NA
"490","0000-0003-4596-0702","Hörst, Sarah M.",NA
"491","0000-0003-4596-0702","Hörst, Sarah M.",NA
"492","0000-0002-7957-7624","Inoue, Takanari",NA
"493","0000-0002-4791-4593","Irazoqui, Pedro P.",NA
"494","211","Ireland, R. M.",NA
"495","212","Ireland, Robert M.",NA
"496","213","Ireland, Robert M.",NA
"497","214","Isooba, David",NA
"498","215","Isooba, David",NA
"499","0000-0002-2930-5276","Ivkov, Robert",NA
"500","0000-0002-2930-5276","Ivkov, Robert",NA
"501","0000-0002-2930-5276","Ivkov, Robert",NA
"502","0000-0003-1629-6478","Izenberg, Noam R.",NA
"503","216","Jackson, Dorian M.",NA
"504","0000-0003-4266-7973","Jackson, Susan T.",NA
"505","217","Jacobs, David",NA
"506","0000-0001-6886-1454","Jaffe, Andrew E.",NA
"507","218","Jang, Hyun June",NA
"508","0000-0001-8218-2482","Jang, Hyun-June",NA
"509","0000-0001-8218-2482","Jang, Hyun-June",NA
"510","0000-0001-8218-2482","Jang, Hyun-June",NA
"511","0000-0002-3811-4973","Jani, Vivek P.",NA
"512","219","Jayakumar, Ravikrishnan P.",NA
"513","0000-0003-4321-6816","Jayakumar, Ravikrishnan P.",NA
"514","0000-0003-3413-2530","Jayaraman, Sahana",NA
"515","220","Jedlicka, Anne",NA
"516","221","Jedlicka, Anne",NA
"517","0000-0002-0587-9355","Jefferis, Gregory S. X. E.",NA
"518","222","Jendrichovsky, Peter",NA
"519","0000-0003-2683-9157","Jenkins, David M.",NA
"520","223","Jenkins, David M.",NA
"521","224","Jensen, Isabel M.",NA
"522","225","Jensen, Isabel M.",NA
"523","226","Ji, Yuyang",NA
"524","0000-0001-9173-1084","Jia, Mengxuan",NA
"525","0000-0002-5877-5138","Jia, Sisi",NA
"526","227","Jia, Xiaoming",NA
"527","228","Jiang, Nan",NA
"528","0000-0002-5590-4889","Jiang, Qifeng",NA
"529","229","Jiang, Yufeng",NA
"530","0000-0002-0221-3208","Jiménez-Avalos, Gabriel",NA
"531","230","Jin, Lu",NA
"532","231","Jin, Rui",NA
"533","232","Johns Hopkins Center for a Livable Future",NA
"534","233","Jones, Gareth",NA
"535","0000-0003-0335-4982","Joos, Olga",NA
"536","0000-0001-6703-9899","Jordan, Asha K.",NA
"537","234","Jumai’an, Eugenie",NA
"538","235","Jung, Hyun Jun",NA
"539","236","KC, Angela",NA
"540","237","Kaiser, Christian M.",NA
"541","0000-0001-7246-745X","Kale, Tejaswini",NA
"542","0000-0001-7246-745X","Kale, Tejaswini",NA
"543","238","Kale, Tejaswini S.",NA
"544","239","Kamara, Diarra",NA
"545","240","Kamara, Diarra",NA
"546","241","Kamath, Vidulata",NA
"547","242","Kamoga, Caleb",NA
"548","243","Kamoga, Caleb",NA
"549","0009-0001-2615-3617","Kang, Byunghwa",NA
"550","0000-0002-7529-5435","Kanold, Patrick",NA
"551","0000-0002-7529-5435","Kanold, Patrick O.",NA
"552","0000-0002-7529-5435","Kanold, Patrick O.",NA
"553","0000-0002-7529-5435","Kanold, Patrick O.",NA
"554","244","Kanyuka, Mercy",NA
"555","0000-0003-1596-2299","Kass, David A.",NA
"556","0000-0002-2347-4183","Katamba, Achilles",NA
"557","0000-0002-2347-4183","Katamba, Achilles",NA
"558","0000-0002-3190-2475","Katz, Howard",NA
"559","0000-0002-3190-2475","Katz, Howard",NA
"560","0000-0002-3190-2475","Katz, Howard E.",NA
"561","0000-0002-3190-2475","Katz, Howard E.",NA
"562","0000-0002-3190-2475","Katz, Howard E.",NA
"563","245","Katz, Howard E.",NA
"564","0000-0002-3190-2475","Katz, Howard E.",NA
"565","0000-0002-3190-2475","Katz, Howard E.",NA
"566","0000-0002-3190-2475","Katz, Howard E.",NA
"567","246","Katz, Howard E.",NA
"568","0000-0002-3190-2475","Katz, Howard E.",NA
"569","247","Katz, Howard E.",NA
