"","auth_id","pub_id"
"617","0000-0002-6115-9811",46
"618","0000-0001-8641-755X",193
"619","124",82
"620","125",50
"621","126",179
"622","127",51
"623","0000-0002-1731-0879",138
"624","0000-0002-8860-3484",171
"625","128",8
"626","0000-0003-0936-0865",NA
"627","129",NA
"628","130",31
"629","0000-0003-1113-4103",105
"630","0000-0002-1432-5952",65
"631","131",105
"632","0000-0002-8383-4259",55
"633","0000-0002-8383-4259",55
"634","0000-0002-8383-4259",153
"635","0000-0002-8383-4259",153
"636","132",171
"637","133",210
"638","134",69
"639","135",125
"640","0000-0002-0773-7473",NA
"641","136",NA
"642","137",NA
"643","0000-0003-1139-3711",176
"644","0000-0003-1139-3711",176
"645","0000-0003-1139-3711",176
"646","0000-0003-1139-3711",105
"647","0000-0003-1139-3711",105
"648","0000-0003-1139-3711",105
"649","0000-0003-1139-3711",205
"650","0000-0003-1139-3711",205
"651","0000-0003-1139-3711",205
"652","0000-0002-8296-537X",89
"653","138",59
"654","139",115
"655","0000-0002-1267-8156",28
"656","140",56
"657","141",20
"658","0000-0001-7190-7396",122
"659","0000-0002-6621-6096",143
"660","142",175
"661","0000-0001-6447-5425",81
"662","0000-0001-6447-5425",81
"663","0000-0001-6447-5425",81
"664","0000-0001-6447-5425",81
"665","0000-0001-6447-5425",81
"666","0000-0001-6447-5425",81
"667","0000-0001-6447-5425",109
"668","0000-0001-6447-5425",109
"669","0000-0001-6447-5425",109
"670","0000-0001-6447-5425",109
"671","0000-0001-6447-5425",109
"672","0000-0001-6447-5425",109
"673","0000-0001-6447-5425",18
"674","0000-0001-6447-5425",18
"675","0000-0001-6447-5425",18
"676","0000-0001-6447-5425",18
"677","0000-0001-6447-5425",18
"678","0000-0001-6447-5425",18
"679","0000-0001-6447-5425",19
"680","0000-0001-6447-5425",19
"681","0000-0001-6447-5425",19
"682","0000-0001-6447-5425",19
"683","0000-0001-6447-5425",19
"684","0000-0001-6447-5425",19
"685","0000-0001-6447-5425",216
"686","0000-0001-6447-5425",216
"687","0000-0001-6447-5425",216
"688","0000-0001-6447-5425",216
"689","0000-0001-6447-5425",216
"690","0000-0001-6447-5425",216
"691","0000-0001-6447-5425",190
"692","0000-0001-6447-5425",190
"693","0000-0001-6447-5425",190
"694","0000-0001-6447-5425",190
"695","0000-0001-6447-5425",190
"696","0000-0001-6447-5425",190
"697","0000-0001-9397-4282",49
"698","0000-0001-5680-6554",169
"699","143",53
"700","0000-0003-3901-4357",143
"701","144",20
"702","0000-0003-3851-3218",124
"703","0000-0003-3851-3218",124
"704","0000-0003-3851-3218",124
"705","0000-0003-3851-3218",124
"706","0000-0003-3851-3218",124
"707","0000-0003-3851-3218",83
"708","0000-0003-3851-3218",83
"709","0000-0003-3851-3218",83
"710","0000-0003-3851-3218",83
"711","0000-0003-3851-3218",83
"712","145",70
"713","0000-0003-3851-3218",189
"714","0000-0003-3851-3218",189
"715","0000-0003-3851-3218",189
"716","0000-0003-3851-3218",189
"717","0000-0003-3851-3218",189
"718","0000-0003-3851-3218",71
"719","0000-0003-3851-3218",71
"720","0000-0003-3851-3218",71
"721","0000-0003-3851-3218",71
"722","0000-0003-3851-3218",71
"723","0000-0003-3851-3218",178
"724","0000-0003-3851-3218",178
"725","0000-0003-3851-3218",178
"726","0000-0003-3851-3218",178
"727","0000-0003-3851-3218",178
"728","146",113
"729","0000-0001-6798-8381",58
"730","0000-0001-6798-8381",58
"731","0000-0001-6798-8381",64
"732","0000-0001-6798-8381",64
"733","147",63
"734","148",106
"735","0000-0002-9794-5056",161
"736","0000-0002-9794-5056",161
"737","0000-0002-9794-5056",84
"738","0000-0002-9794-5056",84
"739","0000-0003-0330-415X",163
"740","149",NA
"741","0000-0002-8542-4835",48
"742","0000-0002-8542-4835",48
"743","0000-0002-8542-4835",48
"744","0000-0002-8542-4835",48
"745","0000-0002-8542-4835",48
"746","0000-0002-8542-4835",48
"747","0000-0002-8542-4835",47
"748","0000-0002-8542-4835",47
"749","0000-0002-8542-4835",47
"750","0000-0002-8542-4835",47
"751","0000-0002-8542-4835",47
"752","0000-0002-8542-4835",47
"753","0000-0002-8542-4835",46
"754","0000-0002-8542-4835",46
"755","0000-0002-8542-4835",46
"756","0000-0002-8542-4835",46
"757","0000-0002-8542-4835",46
"758","0000-0002-8542-4835",46
"759","0000-0002-8542-4835",45
"760","0000-0002-8542-4835",45
"761","0000-0002-8542-4835",45
"762","0000-0002-8542-4835",45
"763","0000-0002-8542-4835",45
"764","0000-0002-8542-4835",45
"765","0000-0002-8542-4835",49
"766","0000-0002-8542-4835",49
"767","0000-0002-8542-4835",49
"768","0000-0002-8542-4835",49
"769","0000-0002-8542-4835",49
"770","0000-0002-8542-4835",49
"771","0000-0002-8542-4835",194
"772","0000-0002-8542-4835",194
"773","0000-0002-8542-4835",194
"774","0000-0002-8542-4835",194
"775","0000-0002-8542-4835",194
"776","0000-0002-8542-4835",194
"777","0000-0001-9635-7220",1
"778","150",53
"779","151",112
"780","0000-0002-7617-3544",89
"781","0000-0002-3704-9217",NA
"782","0000-0001-9723-8530",97
"783","0000-0002-6552-3297",59
"784","0000-0002-6552-3297",59
"785","0000-0002-6552-3297",113
"786","0000-0002-6552-3297",113
"787","152",NA
"788","0000-0003-3135-658X",193
"789","0000-0001-5784-1116",147
"790","0000-0001-5784-1116",147
"791","0000-0001-5784-1116",147
"792","0000-0001-5784-1116",147
"793","0000-0001-5784-1116",147
"794","0000-0001-5784-1116",147
"795","0000-0001-5784-1116",147
"796","0000-0001-5784-1116",147
"797","0000-0001-5784-1116",147
"798","0000-0001-5784-1116",39
"799","0000-0001-5784-1116",39
"800","0000-0001-5784-1116",39
"801","0000-0001-5784-1116",39
"802","0000-0001-5784-1116",39
"803","0000-0001-5784-1116",39
"804","0000-0001-5784-1116",39
"805","0000-0001-5784-1116",39
"806","0000-0001-5784-1116",39
"807","0000-0001-5784-1116",60
"808","0000-0001-5784-1116",60
"809","0000-0001-5784-1116",60
"810","0000-0001-5784-1116",60
"811","0000-0001-5784-1116",60
"812","0000-0001-5784-1116",60
"813","0000-0001-5784-1116",60
"814","0000-0001-5784-1116",60
"815","0000-0001-5784-1116",60
"816","0000-0001-5784-1116",NA
"817","0000-0001-5784-1116",NA
"818","0000-0001-5784-1116",NA
"819","0000-0001-5784-1116",NA
"820","0000-0001-5784-1116",NA
"821","0000-0001-5784-1116",NA
"822","0000-0001-5784-1116",NA
"823","0000-0001-5784-1116",NA
"824","0000-0001-5784-1116",NA
"825","0000-0001-5784-1116",8
"826","0000-0001-5784-1116",8
"827","0000-0001-5784-1116",8
"828","0000-0001-5784-1116",8
"829","0000-0001-5784-1116",8
"830","0000-0001-5784-1116",8
"831","0000-0001-5784-1116",8
"832","0000-0001-5784-1116",8
"833","0000-0001-5784-1116",8
"834","0000-0001-5784-1116",11
"835","0000-0001-5784-1116",11
"836","0000-0001-5784-1116",11
"837","0000-0001-5784-1116",11
"838","0000-0001-5784-1116",11
"839","0000-0001-5784-1116",11
"840","0000-0001-5784-1116",11
"841","0000-0001-5784-1116",11
"842","0000-0001-5784-1116",11
"843","0000-0001-5784-1116",61
"844","0000-0001-5784-1116",61
"845","0000-0001-5784-1116",61
"846","0000-0001-5784-1116",61
"847","0000-0001-5784-1116",61
"848","0000-0001-5784-1116",61
"849","0000-0001-5784-1116",61
"850","0000-0001-5784-1116",61
"851","0000-0001-5784-1116",61
"852","0000-0001-5784-1116",10
"853","0000-0001-5784-1116",10
"854","0000-0001-5784-1116",10
"855","0000-0001-5784-1116",10
"856","0000-0001-5784-1116",10
"857","0000-0001-5784-1116",10
"858","0000-0001-5784-1116",10
"859","0000-0001-5784-1116",10
"860","0000-0001-5784-1116",10
"861","0000-0001-5784-1116",92
"862","0000-0001-5784-1116",92
"863","0000-0001-5784-1116",92
"864","0000-0001-5784-1116",92
"865","0000-0001-5784-1116",92
"866","0000-0001-5784-1116",92
"867","0000-0001-5784-1116",92
"868","0000-0001-5784-1116",92
"869","0000-0001-5784-1116",92
"870","153",23
"871","154",171
"872","0000-0002-9707-350X",94
"873","0000-0002-9707-350X",94
"874","0000-0002-9707-350X",94
"875","0000-0002-9707-350X",75
"876","0000-0002-9707-350X",75
"877","0000-0002-9707-350X",75
"878","0000-0002-9707-350X",37
"879","0000-0002-9707-350X",37
"880","0000-0002-9707-350X",37
"881","155",31
"882","0000-0002-6799-1561",105
"883","0000-0002-9936-7034",20
"884","0000-0001-9234-2806",89
"885","156",22
"886","157",33
"887","0000-0002-5550-0286",113
"888","0000-0002-5550-0286",113
"889","0000-0002-5550-0286",36
"890","0000-0002-5550-0286",36
"891","158",56
"892","0000-0003-2735-4725",115
"893","159",62
"894","0000-0003-3386-5839",58
"895","0000-0003-3386-5839",58
"896","0000-0003-3386-5839",58
"897","0000-0003-3386-5839",64
"898","0000-0003-3386-5839",64
"899","0000-0003-3386-5839",64
"900","0000-0003-3386-5839",63
"901","0000-0003-3386-5839",63
"902","0000-0003-3386-5839",63
"903","0000-0002-8271-1281",143
"904","160",43
"905","0000-0002-4471-9565",44
"906","0000-0001-6655-7862",19
"907","0000-0001-8525-340X",127
"908","161",144
"909","162",143
"910","0000-0001-6769-7322",126
"911","163",2
"912","164",192
"913","0000-0002-7846-9226",65
"914","165",28
"915","0000-0003-4580-9893",NA
"916","0000-0002-5658-8654",214
