"","name","url","identifier","description","published_at"
"22","Professor Sarah Hörst Research Group                                          ","https://archive.data.jhu.edu/dataverse/SHorst","SHorst","Data associated with publications produced by the Professor Sarah Hörst Research Group","2018-06-13T13:46:01Z"
"23","The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Survey-Nepal Publication Data","https://archive.data.jhu.edu/dataverse/PoSHAN_Publications","PoSHAN_Publications","The PoSHAN surveys were designed to be nationally representative and implemented as an annual assessment of community, household, individual conditions in 21 sub-districts in Nepal from 2013-2016. The aim of the study was to determine a) the links among agriculture, nutrition, health, and b) how exposure to a range of policy and program interventions may influence household food security, poverty, and the diets, health and nutrition of young children, their mothers and nulliparous women of reproductive age. This archive is for datasets associated with publications based on the PoSHAN surveys. The complete survey datasets can be found here; [link]","2018-10-24T15:06:54Z"
"24","Hydroclimate Research Group","https://archive.data.jhu.edu/dataverse/hydroclimate","hydroclimate","The overarching purpose of our research group is to advance understanding of hydroclimate dynamics and of the manner in which hydroclimatic processes interact with ecological and human systems. In the process, we aim to develop tools for improved monitoring and prediction of regional atmospheric processes, landscape hydrology, and, in collaboration with many wonderful colleagues, coupled climate / environment / human systems relevant to human health, food and water security, and preservation of biodiversity.","2018-08-24T14:54:09Z"
"25","Direct Effects of CO2 Radiative Forcing on Ocean Heat Content and Circulation","https://archive.data.jhu.edu/dataverse/CO2_Effect","CO2_Effect",NA,"2018-12-10T15:49:12Z"
"26","The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Study Data Archive","https://archive.data.jhu.edu/dataverse/PoSHAN","PoSHAN","The Feed the Future Innovation Lab for Nutrition, with funding from the USAID, conducted a series of four annual surveys – The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Surveys – in Nepal from 2013-2016. The aim of the surveys was to assess nutritional status, diet and morbidity of preschool aged children and their mothers, and recently married, nulliparous women, and household food security, agricultural practices, participation in services and programs, among other factors, and examine associations between agricultural practices and food security, nutritional status, diet and health. The broader goal was guide policy and program interventions that may influence household food security, poverty, and the diets, health and nutrition of pre-school children and their mothers. The PoSHAN surveys were conducted in 21 sub-district units (Village Development Committees, VDCs), in 21 districts, 7 each across the Mountains, Hills and Terai (plains), sampled systematically following a random start. Within each VDC, 3 of 9 wards were systematically sampled, proportional to population size, for a total of 63 wards in the full sample. The PoSHAN surveys were conducted in the same season (~June-August) and wards every year. In addition, 1 VDC, representing an average of the 7 VDCs per zone was surveyed in two additional seasons al (sentinel) surveys to provide year-round agricultural, food security, dietary, nutritional status and other data. The first three were nationally representative (2013, 2014 and 2016) and one was conducted only in the Terai (2015) due to the 2015 Nepal earthquake which mainly affected the Hills and Mountains. This archive contains two collections: datasets for each Annual Survey 2013-2016 and Seasonal Surveys 2013-2015, and datasets associated with publications derived from the PoSHAN study.","2019-04-23T20:14:13Z"
"27","Engaging Men in the HIV Treatment Continuum (Côte d’Ivoire)","https://archive.data.jhu.edu/dataverse/hiv_trtmnt_cont","hiv_trtmnt_cont","This project contains formative research and evaluation data related to a USAID-funded project designed to engage men in Côte d’Ivoire in HIV testing and the treatment continuum. Funding was given under two USAID projects: Health Communication Capacity Collaborative (HC3) and Breakthrough ACTION.","2018-12-07T18:10:27Z"
"28","Dr. Howard Katz NSF-supported projects","https://archive.data.jhu.edu/dataverse/HKatz_NSF","HKatz_NSF","This Dataverse includes Dr. Howard Katz's research projects supported by NSF funding.","2019-04-08T18:51:49Z"
"29","The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Study Data Archive","https://archive.data.jhu.edu/dataverse/PoSHAN_Surveys","PoSHAN_Surveys","The Feed the Future Innovation Lab for Nutrition, with funding from the USAID, conducted a series of four annual surveys – The Policy and Science for Health, Agriculture and Nutrition (PoSHAN) Surveys – in Nepal from 2013-2016. The aim of the surveys was to assess nutritional status, diet and morbidity of preschool aged children and their mothers, and recently married, nulliparous women, and household food security, agricultural practices, participation in services and programs, among other factors, and examine associations between agricultural practices and food security, nutritional status, diet and health. The broader goal was guide policy and program interventions that may influence household food security, poverty, and the diets, health and nutrition of pre-school children and their mothers. The PoSHAN surveys were conducted in 21 sub-district units (Village Development Committees, VDCs), in 21 districts, 7 each across the Mountains, Hills and Terai (plains), sampled systematically following a random start. Within each VDC, 3 of 9 wards were systematically sampled, proportional to population size, for a total of 63 wards in the full sample. The PoSHAN surveys were conducted in the same season (~June-August) and wards every year. In addition, 1 VDC, representing an average of the 7 VDCs per zone was surveyed in two additional seasons al (sentinel) surveys to provide year-round agricultural, food security, dietary, nutritional status and other data. The first three were nationally representative (2013, 2014 and 2016) and one was conducted only in the Terai (2015) due to the 2015 Nepal earthquake which mainly affected the Hills and Mountains. This collection contains the cross-sectional datasets for each mid-year survey (2013, 2014 and 2016) and 4 seasonal surveys conducted from 2013 through 2015. For more information visit:http://pubs.sciepub.com/jfs/6/2/5/. (Link to Annual Surveys.) (Link to Seasonal Surveys.) Data files are formatted for STATA and include MS Excel and CSV formats. Data for potentially identifiable variables has been curated to protect participant anonymity for public access. Access to restricted data may be requested by contacting the Johns Hopkins study archive curator. Additional content details are available in the file set Metadata folder.","2019-04-23T20:14:21Z"
"30","Partnership for ICU Patient-Family Engagement Research (PIPER)","https://archive.data.jhu.edu/dataverse/PIPER","PIPER","The Partnership for ICU Patient-Family Engagement Research (PIPER) , led by Alison E. Turnbull, DVM, MPH, PhD at Johns Hopkins University School of Medicine, is a multidisciplinary group of researchers, clinicians, ICU families, and survivors investigating ways to ensure that ICU patients and their families are appropriately engaged in decision-making about patient care. The PIPER data archive shares datasets associated with publications for the Proxy Activation Study and MOLST project.","2019-04-16T21:06:34Z"
"31","PIPER group - MOLST research","https://archive.data.jhu.edu/dataverse/PiperScience_MOLST","PiperScience_MOLST","Data related to research on the Maryland Orders for Life-Sustaining Treatment form conducted by Alison Turnbull, DVM, MPH, PhD and the Partnership for ICU Patient-family Engagement Research (www.piperscience.org).","2019-04-16T22:00:44Z"
"32","Dr. Sarah Preheim's Lab Publication Datasets","https://archive.data.jhu.edu/dataverse/Preheim","Preheim","Data associated with research projects to understand factors that influence the microbiology of aquatic systems, as described in the Lab Research website http://preheimlab.johnshopkins.edu/","2019-11-20T20:26:02Z"
"33","Overuse of Healthcare Resources in Older Adults","https://archive.data.jhu.edu/dataverse/Segal","Segal","Supplemental data supporting work of Dr. Jodi Segal with funding from the National Institute on Aging","2019-06-26T17:26:41Z"
"34","Professor Sheila West Research Group","https://archive.data.jhu.edu/dataverse/sheilawest","sheilawest","Data associated with publications by Professor West's Research Group","2019-12-19T20:21:04Z"
"35","PIPER group – communication research","https://archive.data.jhu.edu/dataverse/communication","communication","This randomized trialed compared how the family members of people with advanced chronic obstructive pulmonary disease (COPD) requiring home oxygen interpreted prognostic statements make in video recordings of a senior intensivist. The primary outcome was recorded on a 0 – 100 scale. Secondary outcomes included difference in belief, and participant confidence in their ability to interpret the physician.","2020-04-01T17:02:53Z"
"36","Brain, Learning, Animation and Movement (BLAM) Laboratory Data Archive","https://archive.data.jhu.edu/dataverse/blam","blam","Data and code associated with selected publications and projects from the BLAM Lab. The lab investigates problems in motor learning, motor control, and stroke rehabilitation. The lab is co-directed by Dr. John W. Krakauer, M.A., M.D. and Dr. Adrian M. Haith, Ph.D.","2021-06-30T20:25:47Z"
"37","Mullany LC Research Group","https://archive.data.jhu.edu/dataverse/Mullany","Mullany","Datasets supporting publications and related projects by Dr. Luke C. Mullany and coauthors.","2020-01-08T16:38:27Z"
"38","Evidence-Based Education","https://archive.data.jhu.edu/dataverse/CRRE","CRRE","The Center for Research and Reform in Education (CRRE) is a research center within the Johns Hopkins School of Education. Established in 2004, our major goal is to improve the quality of education for disadvantaged children in grades pre-K to 12 through high-quality research and evaluation studies and the dissemination of evidence-based research. This project contains data related to systematic reviews conducted by the team and disseminated through the BEE, Evidence for ESSA, and various academic conferences and journals.","2020-08-28T18:59:41Z"
"39","Licensed Datasets for JHU Affiliates","https://archive.data.jhu.edu/dataverse/licensed-data","licensed-data","Data sets in this collection are licensed for JHU affiliates only. JHU affiliates will need to log in with their JHED credentials for access. Access requirements may vary and will be noted in the item records. Please contact dataservices@jhu.edu with any questions.","2020-07-28T19:46:52Z"
"40","Earth System Modeling at Johns Hopkins","https://archive.data.jhu.edu/dataverse/Earth_System_Modeling","Earth_System_Modeling","Output from Earth System Models run in Anand Gnanadesikan's group at Johns Hopkins, including studies of climate variability and coupled biological-physical interactions.","2020-08-28T15:17:36Z"
"41","STOMP-TB study (Strategies for Treating, Observing, Managing and Preventing Tuberculosis)","https://archive.data.jhu.edu/dataverse/stomp-tb","stomp-tb","This study (NIH R01 HL138728, PI David Dowdy) seeks to create a comprehensive snapshot of tuberculosis prevalence and transmission within a single community in Kampala, Uganda. Data include data from people diagnosed with TB through active, community-based case-finding in this community, from people diagnosed with TB through routine care in local health facilities, from TB-negative controls, and from the contacts of TB cases.","2020-11-12T19:59:11Z"
"42","TB Modeling and Translational Epidemiology","https://archive.data.jhu.edu/dataverse/tb_modeling_translational_epi","tb_modeling_translational_epi","This Dataverse contains data from studies related to the JHSPH TB Modeling and Translational Epidemiology group. Projects include studies of TB transmission, case detection, diagnosis, treatment, and prevention, primarily performed in Uganda and South Africa.","2020-10-05T15:06:27Z"
"43","JiVitA Maternal and Child Health Research Project","https://archive.data.jhu.edu/dataverse/jivita","jivita","The JiVitA Maternal and Child Health Research Project is one of the largest population health and nutrition intervention research organizations in South Asia, operating in an area of 435 sq km and population of >600,000 covering 18 rural unions in the District of Gaibandha in northwest Bangladesh. Started in 2000, JiVitA (derived from the Bangla word jibhitau = alive), is dedicated to assessing practical nutrition and health care interventions to reduce maternal, infant, childhood morbidity and mortality, and improve growth, health and development throughout adolescence into the reproductive years. The overarching goal of JiVitA is to guide public health policy in Bangladesh and South Asia with evidence. JiVitA is a Project of the Center for Human Nutrition in the Department of International Health of the Johns Hopkins University, registered with the Government of Bangladesh Non-Governmental Organization Affairs Bureau, Dhaka Bangladesh. Major funders include the Bill & Melinda Gates Foundation, USAID, USDA, the UBS Optimus Foundation, Johns & Johnson, the National Institutes of Health, the World Health Organization and Sight and Life Foundation/DSM. Corporate partners in research have included DSM, Beximco Ltd, Olympic Foods and Weigh and Measure LLC. In this dataverse, we will publish data associated with peer-reviewed papers. Data for potentially identifiable variables has been curated to protect participant anonymity for public access. Additional content details for each dataset are available in Metadata.","2021-02-26T21:18:25Z"
"44","Professor Michael Falk Research Group – Computational Materials Science Datasets","https://archive.data.jhu.edu/dataverse/FalkM","FalkM","A repository for datasets arising from computational materials science research in the research group of Prof. Michael Falk. Funding for these projects has been supplied by the National Science Foundation and or the Department of Energy.","2021-10-01T17:30:30Z"
"45","Access to Fertility Care","https://archive.data.jhu.edu/dataverse/McGarity","McGarity","Datasets accompanying publications by Micajah McGarity, Department of Environmental Health and Engineering, Johns Hopkins University","2021-09-03T19:07:03Z"
"46","STURDY Randomized Clinical Trial","https://archive.data.jhu.edu/dataverse/sturdy","sturdy","This dataverse contains de-identified data for the Study to Understand Fall Reduction and Vitamin D in You (STURDY) randomized response-adaptive clinical trial. This study has been registered on ClinicalTrials.gov, identifier NCT02166333. This Database includes a set of files pertaining to the full study population (688 randomized participants plus screenees who were not randomized) and a set of files pertaining to the burn-in cohort (the 406 participants randomized prior to the first adjustment of the randomization probabilities). The Database also includes files that support the analyses included in the primary outcome paper published by the Annals of Internal Medicine (2021;174:(2):145-156). Several STURDY documents, including the final versions of the screening and trial consent statements, the Protocol, and the Manual of Procedures, are included with this documentation notebook to assist with understanding and navigation of STURDY data. Notes on analysis questions and issues are also included, as is a list of STURDY publications.","2022-03-02T18:28:49Z"
"47","Algorithms, SAS code, and documentation supporting the Overuse of Healthcare","https://archive.data.jhu.edu/dataverse/OveruseIndex","OveruseIndex","Algorithms, SAS code, and documentation supporting the Overuse Index. The Overuse Index was initially operationalized using Medicare data from 2008; it was later run in the IBM Marketscan data, and then subsequently modified and updated to ICD-10 codes and run in 100% Medicare data from 2016-2018. PI: Jodi Segal, MD, MPH. Johns Hopkins University","2021-09-09T17:10:08Z"
"48","Computational Neuroscience Laboratory","https://archive.data.jhu.edu/dataverse/CompNeuroscienceLab","CompNeuroscienceLab","Data and code related to projects in the Computational Neuroscience Laboratory at Johns Hopkins University, Zanvyl Krieger Mind/Brain Institute (PI: Ernst Niebur)","2022-03-07T14:12:29Z"
"49","Dr. Conor McMeniman’s Lab Publication Datasets (Johns Hopkins University) ","https://archive.data.jhu.edu/dataverse/McMeniman","McMeniman","Data and code associated with publications published by the laboratory of Dr. Conor McMeniman.","2023-04-21T16:24:51Z"
"50","Johns Hopkins Center for a Livable Future","https://archive.data.jhu.edu/dataverse/CLF","CLF","The Center for a Livable Future (CLF) Center for a Livable Future (CLF)/ operates out of the Johns Hopkins Bloomberg School of Public Health, from the Department of Environmental Health and Engineering, and works towards building a healthier, more equitable and resilient food system.","2023-06-12T21:02:49Z"
"51","Johns Hopkins Vestibular NeuroEngineering Laboratory","https://archive.data.jhu.edu/dataverse/Vestibular-NeuroEngineering-Lab","Vestibular-NeuroEngineering-Lab","Data and code associated with the Vestibular Neuroengineering Laboratory at Johns Hopkins University (PI: Charles C Della Santina)","2023-04-04T22:55:55Z"
"52","KanoldLab","https://archive.data.jhu.edu/dataverse/KanoldLab","KanoldLab","Data from our group in the Biomedical Engineering Department and part of the Kavli Neuroscience Discovery Institute. We are a diverse and multidisciplinary group of scientists fascinated by the few pounds of matter between our ears. Visit us at https://kanoldlab.com","2023-08-07T18:24:01Z"
"53","JHU Arroyo Laboratory Data Archive","https://archive.data.jhu.edu/dataverse/ArroyoLab","ArroyoLab","Raw data, analyzed data, and final figure images for all Arroyo laboratory publications. Our laboratory develops biology-inspired electrochemical sensors that enable real-time, continuous measurements of a wide range of physiologically-important molecules in vivo.","2023-07-21T20:11:45Z"
"54","Kolodkin Lab","https://archive.data.jhu.edu/dataverse/KolodkinLab","KolodkinLab","The Kolodkin Lab at Johns Hopkins University School of Medicine, Department of Neuroscience Research in our laboratory is focused on understanding how neuronal connectivity is established during embryonic and postnatal development. We investigate the functions of guidance cues and their receptors in axon guidance, dendritic morphology, and synapse formation and function. Current projects investigate the origins of laminar organization in the CNS, including regulation of neurite stratification in the mouse retina, and also how retinal ganglion cell axons establish connections to retinorecipient targets in the brain: with a particular interest in direction-selective visual system circuits. In addition, we study cellular and molecular mechanisms that regulate laminar organization of neuronal processes in the mouse neocortex. See more at: https://www.kolodkinlab.com/","2023-11-30T20:55:13Z"
"55","Prof. Kevin Lewis Research Group Data Archive – Planetary Surfaces Datasets","https://archive.data.jhu.edu/dataverse/LewisGroup","LewisGroup","This archive contains supplementary datasets related to a number of publications on the geology and geophysics of planetary surfaces, primarily the Moon and Mars.","2023-09-29T15:15:44Z"
"56","JHU Woodson Laboratory Data Archive","https://archive.data.jhu.edu/dataverse/Woodson","Woodson","Sarah Woodson laboratory in the Department of Biophysics, studying RNA folding, RNA-protein complexes, and RNA toxicity.","2023-08-25T11:54:04Z"
"57","JHU CCVL (Computational Cognition, Vision, and Learning) Data Archive","https://archive.data.jhu.edu/dataverse/CCVL","CCVL","The main goal of the CCVL (Computational Cognition, Vision, and Learning) research group is to develop mathematical models of vision and cognition. These models are intended primarily for designing artificial (computer) vision systems. Learning is required for extracting knowledge from data. Practical applications include vision for the disabled. These models also serve as computational models of biological vision which can be tested by behavioral methods and, in collaborative projects, with invasive, and non-invasive neuroscience techniques. We also study how humans and animals perform cognitive tasks such as learning and reasoning. In addition, we also use machine learning for interpreting medical images and studying brain function. See additional CCVL project datasets at https://ccvl.jhu.edu/datasets/. Alan Yuille, Bloomberg Distinguished Professor, Research Group Director.","2024-04-26T19:48:23Z"
"58","Atlás digital de México histórico/Digital Atlas of Historical Mexico ","https://archive.data.jhu.edu/dataverse/atlas-historical-Mexico","atlas-historical-Mexico","Mexican geography has changed considerably over the past centuries. Whether looking at administrative organization, economic activity, infrastructure, or the environment, contemporary maps of the country cannot adequately represent historical places and spaces. This project collects historical GIS projects that seek to provide alternate means of visualizing and analyzing Mexican space using digital mapping. For more, see https://mx.digital/atlas/","2023-12-13T13:38:49Z"
"59","AbdomenAtlas","https://archive.data.jhu.edu/dataverse/AbdomenAtlas","AbdomenAtlas","AbdomenAtlas is a fully annotated CT dataset, comprising 22,682 CT volumes that include per-voxel annotations for 149 anatomical structures and all types of tumors. This dataset has been sourced from 102 hospitals across 20 countries. AbdomentAtlas is a project of the CCVL (Computational Cognition, Vision, and Learning) research group, Johns Hopkins University. See additional CCVL project datasets at https://ccvl.jhu.edu/datasets/","2024-04-26T19:48:56Z"
"60","Sedimentary Geobiology Group","https://archive.data.jhu.edu/dataverse/SGG","SGG","The Sedimentary Geobiology Group is a multi-disciplinary group that studies how geochemical and morphological patterns in modern sedimentary systems capture information about ecological diversity (who is there?), biological activity (what are they doing?), and environmental conditions (how do they affect their surroundings and vice versa?). Insights from the modern are then used to interpret geochemical and morphological patterns in the geological record in order to explore the coupled evolution of life and the Earth surface environment.","2024-03-27T13:41:58Z"
"61","ARTIST Simulations","https://archive.data.jhu.edu/dataverse/ArtistSimulations","ArtistSimulations","Codes include simulations used to predict reacted reporter kinetics and dose-response curve of IFN-O1-dART, reacted reporter kinetics, and dose-response curves of the comparator. Eqns S1, S2, are in the Supplementary Information Section 2.1, and Eqn S5 is in Section 2.2. Eqns S9, S10, S11 are in the Supplementary Information Section 6.2. LOD and Sensitivity analysis are in Supplementary Information Section 3. Codes were written and run using Jupyter Notebook.","2024-07-19T14:13:59Z"
"62","Synthetic Biomolecular Machines Lab Dataverse","https://archive.data.jhu.edu/dataverse/SyntheticBiomolecularMachines","SyntheticBiomolecularMachines","This Dataverse contains data from work from the Schulman laboratory at JHU associated with peer-reviewed research papers.","2024-05-20T19:11:24Z"
