"","name","affiliation","id_type","author_id"
"27","Maïga, Abdoulaye","Institut Supérieur des Sciences de la Population, University of Ouagadougou, Ouagadougou, Burkina Faso; Université catholique de Louvain, Louvain-la-Neuve, Belgium","ORCID","0000-0002-0475-1106"
"28","Mekonnen, Yared","Mela Research PLC, Addis Ababa, Ethiopia","ORCID","0000-0003-0227-2272"
"29","Miller, Nathan P.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","16"
"30","Mleme, Tiope","National Statistical Office, Zomba, Malawi","dataverse_id","17"
"31","Moulton, Lawrence H.","Global Disease Epidemiology and Control, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7041-7387"
"32","Munos, Melinda","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1349-8026"
"33","Munthali, Spy","Chancellor College, University of Malawi, Zomba, Malawi","dataverse_id","18"
"34","Pearson, Luwei","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia","dataverse_id","19"
"35","Park, Lois A.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","20"
"36","Perin, Jamie L.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-5482-6620"
"37","Roberton, Timothy","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","21"
"38","Shaw, Bryan","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","22"
"39","Tafesse, Mengistu","ABH Services PLC, Addis Ababa, Ethiopia","dataverse_id","23"
"40","Tam, Yvonne","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4849-5084"
"41","Tiendrebeogo, Adama","Institut National de la Statistique et de la Démographie, Ouagadougou, Ouagadougou, Burkina Faso","dataverse_id","24"
"42","Victora, Cesar G.","University of Pelotas, Pelotas, Brazil","ORCID","0000-0002-2465-2180"
"43","Hui, Li","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3826-0735"
"44","Dailey, Jennifer","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","25"
"45","Kale, Tejaswini","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7246-745X"
"46","Besar, Kalpana","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3502-9378"
"47","Koehler, Kirsten","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0516-6945"
"48","Katz, Howard E.","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"49","Viete, Daniel R.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5495-9370"
"50","Hacker, Bradley R.","Department of Earth Science, University of California, Santa Barbara, Santa Barbara, CA, USA","dataverse_id","26"
"51","Allen, Mark B.","Department of Earth Sciences, Durham University, Durham, UK","ORCID","0000-0002-0656-7898"
"52","Seward, Gareth G. E.","Department of Earth Science, University of California, Santa Barbara, Santa Barbara, CA, USA","dataverse_id","27"
"53","Tobin, Mark J.","Australian Synchrotron, Clayton, Victoria, Australia","ORCID","0000-0003-1862-0649"
"54","Kelley, Christopher S.","Diamond Light Source, Harwell Science and Innovation Campus, Didcot, UK","dataverse_id","28"
"55","Cinque, Gianfelice","Diamond Light Source, Harwell Science and Innovation Campus, Didcot, UK","ORCID","0000-0001-6801-8010"
"56","Duckworth, Andrew R.","Department of Chemistry, Durham University, Durham, UK","ORCID","0000-0001-5973-0524"
"57","Zhao, Xingang","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5852-9757"
"58","Madan, Deepa","Department of Mechanical Engineering, University of Maryland Baltimore County, Baltimore, MD, USA","ORCID","0000-0002-0061-2715"
"59","Cheng, Yan","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","29"
"60","Zhou, Jiawang","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-2399-0030"
"61","Li, Hui","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3826-0735"
"62","Thon, Susanna M.","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1003-2650"
"63","Bragg, Arthur E.","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3376-5494"
"64","DeCoster, Mallory E.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","ORCID","0000-0002-1139-9235"
"65","Hopkins, Patrick E.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","ORCID","0000-0002-3403-743X"
"66","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"67","Li, Hui","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3826-0735"
"68","Decoster, Mallory E.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","ORCID","0000-0002-1139-9235"
"69","Ireland, Robert M.","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","30"
"70","Song, Jian","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","31"
"71","Hopkins, Patrick E.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","dataverse_id","32"
"72","Katz, Howard E.","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"73","Shi, Wei","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","33"
"74","Zheng, Yifan","Department of Chemical & Environmental Engineering, Yale University, New Haven, CT, USA","dataverse_id","34"
"75","Taylor, André D.","Department of Chemical & Environmental Engineering, Yale University, New Haven, CT, USA","dataverse_id","35"
"76","Yu, Junsheng","School of Optoelectronic Information, University of Electronic Science and Technology of China, Chengdu, China","ORCID","0000-0002-7484-8114"
"77","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","36"
"78","Ireland, R. M.","Department of Materials Science and Engineering; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","37"
"79","Liang, Wu","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-1696-7809"
"80","Salehi, Maryam","Department of Material Science and Engineering, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","dataverse_id","38"
"81","Oh, Seongshik","Department of Physics and Astronomy, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","dataverse_id","39"
"82","Armitage, Norman P.","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","40"
"83","Katz, Howard E.","Department of Materials Science and Engineering; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"84","Yu, Xinting","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7479-1437"
"85","Hörst, Sarah M.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4596-0702"
"86","He, Chao","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","41"
"87","McGuiggan, Patricia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","42"
"88","Ying, Wendy","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","43"
"89","Zhao, Di","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","44"
"90","Ouyang, Pamela","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4925-9059"
"91","Subramanya, Vinita","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1059-0847"
"92","Vaidya, Dhananjay","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7164-1601"
"93","Ndumele, Chiadi E.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","45"
"94","Sharma, Kavita","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","46"
"95","Shah, Sanjiv J.","Department of Medicine, Northwestern University, Chicago, IL, USA","ORCID","0000-0002-5655-8201"
"96","Heckbert, Susan R.","Cardiovascular Health Research Unit and Department of Epidemiology, University of Washington, Seattle, WA, USA","dataverse_id","47"
"97","Lima, Joao A.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","48"
"98","deFilippi, Christopher R.","Inova Heart and Vascular Institute, Falls Church, VA, USA","ORCID","0000-0002-0660-4943"
"99","Budoff, Matthew J.","University of California Los Angeles Medical Center, Los Angeles, CA, USA","ORCID","0000-0002-9616-1946"
"100","Post, Wendy S.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8655-5204"
"101","Michos, Erin D.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-5547-5084"
"102","Falk, Michael L.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8383-4259"
"103","Beer, Michael A.","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9955-3809"
"104","Budavari, Tamas","Department of Applied Mathematics and Statistics, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7034-4621"
"105","Kraemer, David","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","49"
"106","Marra, Steven","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","50"
"107","Selinski, Joanne","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2831-4389"
"108","Zhang, Qingyang","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","51"
"109","Plunkett, Evan","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","52"
"110","Tibbels, Natalie","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","ORCID","53"
"111","Hendrickson, Zoé","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","ORCID","54"
"112","Naugle, Danielle","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","dataverse_id","55"
"113","Dosso, Abdul","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","dataverse_id","56"
"114","Van Lith, Lynn","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","dataverse_id","57"
"115","Mallalieu, Elizabeth C.","Johns Hopkins University Center for Communication Programs, Baltimore, MD, USA","ORCID","58"
"116","Kouadio Ngnanda, Anne M.","Sociology Department, Félix Houphouët-Boigny University in Cocody, Abidjan, Côte d’Ivoire","dataverse_id","59"
"117","Kra, Walter","Sociology Department, Alassane Ouattra University, Bouaké, Côte d’Ivoire","dataverse_id","60"
"118","Kamara, Diarra","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","dataverse_id","61"
"119","Dailly-Ajavon, Patricia","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","dataverse_id","62"
"120","Cisse, Adama","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","dataverse_id","63"
"121","Seifert-Ahanda, Kim","United States Agency for International Development, Washington, D.C., USA","dataverse_id","64"
"122","Thaddeus, Sereen","United States Agency for International Development, Cote d’Ivoire","dataverse_id","65"
"123","Babalola, Stella","Johns Hopkins University Center for Communication Programs, Baltimore, Maryland, USA","dataverse_id","66"
"124","Hoffmann, Christopher J.","Johns Hopkins University School of Medicine, Baltimore, Maryland, USA","dataverse_id","67"
"125","Naugle, Danielle A.","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","68"
"126","Tibbels, Natalie J.","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6848-1881"
"127","Hendrickson, Zoé M.","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2057-2463"
"128","Dosso, Abdul","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","69"
"129","Van Lith, Lynn","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","70"
"130","Mallalieu, Elizabeth C.","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0724-7826"
"131","Kouadio, Anne Marie","Department of Sociology, Félix Houphouët-Boigny University in Cocody, Abidjan, Côte d’Ivoire","dataverse_id","71"
"132","Kra, Walter","Department of Sociology, Alassane Ouattra University, Bouaké, Côte d’Ivoire","dataverse_id","72"
"133","Kamara, Diarra","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","73"
"134","Dailly-Ajavon, Patricia","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","74"
"135","Cisse, Adama","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","75"
"136","Seifert-Ahanda, Kim","United States Agency for International Development, Washington, DC, USA","dataverse_id","76"
"137","Thaddeus, Sereen","United States Agency for International Development, Washington, DC, USA","dataverse_id","77"
"138","Babalola, Stella","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","78"
"139","Hoffmann, Christopher J.","Department of Infectious Disease, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9422-0519"
"140","Plunkett, Evan","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","79"
"141","Kale, Tejaswini S.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","80"
"142","Zhang, Qingyang","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","81"
"143","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"144","Reich, Daniel H.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6313-9884"
"145","Li, Hui","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai, China","dataverse_id","82"
"146","Katz, Howard","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"147","Jang, Hyun-June","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8218-2482"
"148","Munoz, Beatriz","Johns Hopkins Medicine Wilmer Eye Institute","dataverse_id","83"
"149","West, Sheila","Johns Hopkins Medicine Wilmer Eye Institute","dataverse_id","84"
"150","Turnbull, Alison E.","Johns Hopkins University School of Medicine, Outcomes After Critical Illness and Surgery Group, Division of Pulmonary and Critical Care Medicine, Department of Epidemiology, Baltimore, MD","ORCID","0000-0002-1564-6547"
"151","Li, Xintong","Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD","dataverse_id","85"
"152","Basyal, Pragyashree S.","Johns Hopkins University School of Medicine, Outcomes After Critical Illness and Surgery Group, Division of Pulmonary and Critical Care Medicine, Baltimore, MD","dataverse_id","86"
"153","Teply, Melissa L.","Division of Geriatrics, Gerontology, and Palliative Medicine, Department of Internal Medicine, University of Nebraska Medical Center, Omaha, NE","dataverse_id","87"
"154","Singh, Arun L.","Division of Pediatric Palliative Medicine, Prisma Health Children’s Hopsital – Upstate, University of South Carolina School of Medicine – Greenville, Greenville, SC","dataverse_id","88"
"155","Nie, Wanshu","Johns Hopkins University, Department of Earth and Planetary Sciences","dataverse_id","89"
"156","Zaitchik, Benjamin F.","Johns Hopkins University, Department of Earth and Planetary Sciences","dataverse_id","90"
"157","Zhao, Di","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9978-6773"
"158","Guallar, Eliseo","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-4471-9565"
"159","Ballantyne, Christie M.","Department of Medicine, Baylor College of Medicine, Houston, TX, USA","dataverse_id","91"
"160","Post, Wendy S.","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8655-5204"
"161","Ouyang, Pamela","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4925-9059"
"162","Vaidya, Dhananjay","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7164-1601"
"163","Jia, Xiaoming","Department of Medicine, Baylor College of Medicine, Houston, TX, USA","dataverse_id","92"
"164","Ying, Wendy","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","93"
"165","Subramanya, Vinita","Department of Epidemiology, Emory University, Atlanta, GA, USA","ORCID","0000-0002-1059-0847"
"166","Ndumele, Chiadi E.","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","94"
"167","Hoogeveen, Ron C.","Department of Medicine, Baylor College of Medicine, Houston, TX, USA","ORCID","0000-0003-2399-4653"
"168","Michos, Erin D.","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-5547-5084"
"169","Kitonsa, Peter J.","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","ORCID","0000-0003-2971-216X"
"170","Nalutaaya, Annet","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","ORCID","0000-0003-3903-303X"
"171","Mukiibi, James","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","dataverse_id","95"
"172","Nakasolya, Olga","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","dataverse_id","96"
"173","Isooba, David","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","dataverse_id","97"
"174","Kamoga, Caleb","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","dataverse_id","98"
"175","Baik, Yeonsoo","Department of Epidemiology, Johns Hopkins University","ORCID","0000-0001-7016-0438"
"176","Robsky, Katherine","Department of Epidemiology, Johns Hopkins University","ORCID","0000-0001-7789-5779"
"177","Dowdy, David W.","Department of Epidemiology, Johns Hopkins University","ORCID","0000-0003-0481-7475"
"178","Katamba, Achilles","Uganda Tuberculosis Implementation Research Consortium and Department of Medicine, College of Health Sciences, Makerere University, Upper Mulago Hill, Kampala, Uganda","ORCID","0000-0002-2347-4183"
"179","Kendall, Emily A.","Division of Infectious Diseases and Center for Tuberculosis Research, Department of Medicine, Johns Hopkins University","ORCID","0000-0002-0083-422X"
"180","Baker, Kellan E.","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9716-7936"
"181","Wilson, Lisa M.","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","99"
"182","Sharma, Ritu","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","100"
"183","Dukhanin, Vadim","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8685-0027"
"184","McArthur, Kristen","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5601-1583"
"185","Robinson, Karen A.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-1021-7820"
"186","Jang, Hyun-June","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8218-2482"
"187","Song, Yunjia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","101"
"188","Wagner, Justine","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4647-0449"
"189","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"190","Han, Jinfeng","Materials Science and Engineering; Chemistry, Johns Hopkins University","dataverse_id","102"
"191","Fan, Huidong","Materials Science and Engineering; Chemistry, Johns Hopkins University","dataverse_id","103"
"192","Zhang, Qingyang","Materials Science and Engineering; Chemistry, Johns Hopkins University","dataverse_id","104"
"193","Hu, Qin","Polymer Science and Engineering, University of Massachusetts, Amherst; Materials Science Division, Lawrence Berkeley National Laboratory","dataverse_id","105"
"194","Russell, Thomas P.","Polymer Science and Engineering, University of Massachusetts, Amherst; Materials Science Division, Lawrence Berkeley National Laboratory","dataverse_id","106"
"195","Katz, Howard E.","Materials Science and Engineering; Chemistry, Johns Hopkins University","dataverse_id","107"
"196","Jang, Hyun-June","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8218-2482"
"197","Wagner, Justine","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4647-0449"
"198","Song, Yunjia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1216-0285"
"199","Lee, Taein","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"200","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"201","Hur, Jinhee","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0968-208X"
"202","Schulze, Kerry J.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","108"
"203","Thorne-Lyman, Andrew L.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5917-4126"
"204","Wu, Lee S.-F.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","109"
"205","Shaikh, Saijuddin","The JiVitA Project, Gaibandha, Bangladesh","ORCID","0000-0001-5095-1478"
"206","Ali, Hasmot","The JiVitA Project, Gaibandha, Bangladesh","ORCID","0000-0003-0044-1992"
"207","Labrique, Alain B.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2502-7819"
"208","West Jr., Keith P.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9458-362X"
"209","Mukhopadhyaya, Tushita","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","dataverse_id","110"
"210","Wagner, Justine S.","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","dataverse_id","111"
"211","Fan, Huidong","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","dataverse_id","112"
"212","Katz, Howard E.","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","dataverse_id","113"
"213","Mwaikambo, Lisa","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","dataverse_id","114"
"214","Brittingham, Sarah","FHI 360, Durham, NC, USA","dataverse_id","115"
"215","Ohkubo, Saori","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","dataverse_id","116"
"216","Salem, Ruwaida","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","ORCID","0000-0003-3639-7831"
"217","Sama, Denis Joel","The Challenge Initiative, East Africa Hub, Jhpiego, Kampala, Uganda","dataverse_id","117"
"218","Sow, Fatimata","The Challenge Initiative, Francophone West Africa Hub, IntraHealth International, Dakar, Senegal","dataverse_id","118"
"219","Mathur, Deepti","The Challenge Initiative for Healthy Cities, India Hub, Population Services International, Delhi, India","dataverse_id","119"
"220","Anieto, Nneoma Nonyelum","The Challenge Initiative, Nigeria Hub, Johns Hopkins Center for Communication Programs, Abuja, Nigeria","dataverse_id","120"
"221","Lee, Taein","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"222","Panda, Sayak Subhra","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9724-6725"
"223","Tovar, John D.","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9650-2210"
"224","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"225","Moran, Sarah E.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6721-3284"
"226","Hörst, Sarah M.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4596-0702"
