"","dataset_id","collection_id","name","url","description","citation_html","published_at","publisher","citation","downloads"
"67","doi:10.7281/T1/5UEIRG","HKatz_NSF","Data associated with the publication: A dichlorinated dithienylethene-diketopyrrolopyrrole-based copolymer with pronounced p-n crossover: Evidence for anionic Seebeck contribution","https://doi.org/10.7281/T1/5UEIRG","The data consists of spectroscopic, morphological, electronic, and thermoelectric data for this manuscript, divided according to type of characterization","Han, Jinfeng; Song, Yunjia; Chen, Nan; Chiu, Arlene; McGuiggan, Patricia; Adams, Nicholas; Thon, Susanna M.; Tovar, John D.; Katz, Howard E., 2022, ""Data associated with the publication: A dichlorinated dithienylethene-diketopyrrolopyrrole-based copolymer with pronounced p-n crossover: Evidence for anionic Seebeck contribution"", <a href=""https://doi.org/10.7281/T1/5UEIRG"" target=""_blank"">https://doi.org/10.7281/T1/5UEIRG</a>, Johns Hopkins Research Data Repository, V1","2022-05-24T12:26:25Z","Dr. Howard Katz NSF-supported projects","Han, Jinfeng; Song, Yunjia; Chen, Nan; Chiu, Arlene; McGuiggan, Patricia; Adams, Nicholas; Thon, Susanna M.; Tovar, John D.; Katz, Howard E., 2022, ""Data associated with the publication: A dichlorinated dithienylethene-diketopyrrolopyrrole-based copolymer with pronounced p-n crossover: Evidence for anionic Seebeck contribution"", https://doi.org/10.7281/T1/5UEIRG, Johns Hopkins Research Data Repository, V1",7
"68","doi:10.7281/T1/7IXSOP","CompNeuroscienceLab","Data associated with the publication: The role of attention and memory in value computation during complex choice","https://doi.org/10.7281/T1/7IXSOP","This dataset holds empirical data collected while humans performed multi-attribute decision making tasks of multiple levels of complexity. It includes stimuli and behavioral responses as well as measurements of the deciders’ overt attentional state (eye movements). Additionally, we implemented a battery of computational models from a large variety of model families, and we compare how well each of them predicts the deciders’ choices. Python code for the model implementations and Matlab code for visualization is included, as well as optimized (fitted) parameters for all models and all deciders.","Fan, Xinhao; Elsey, Jacob; Wyngaard, Aurelien; Sampson, Aaron; Yang, You-Ping; Emeric, Erik; Glickman, Moshe; Usher, Marius; Levy, Dino; Stuphorn, Veit; Niebur, Ernst, 2022, ""Data associated with the publication: The role of attention and memory in value computation during complex choice"", <a href=""https://doi.org/10.7281/T1/7IXSOP"" target=""_blank"">https://doi.org/10.7281/T1/7IXSOP</a>, Johns Hopkins Research Data Repository, V1","2022-09-23T16:12:59Z","Computational Neuroscience Laboratory","Fan, Xinhao; Elsey, Jacob; Wyngaard, Aurelien; Sampson, Aaron; Yang, You-Ping; Emeric, Erik; Glickman, Moshe; Usher, Marius; Levy, Dino; Stuphorn, Veit; Niebur, Ernst, 2022, ""Data associated with the publication: The role of attention and memory in value computation during complex choice"", https://doi.org/10.7281/T1/7IXSOP, Johns Hopkins Research Data Repository, V1",17
"69","doi:10.7281/T1/YUHUYN","HKatz_NSF","Data associated with the publication: Stable high-conductivity ethylenedioxythiophene polymers via borane-adduct doping","https://doi.org/10.7281/T1/YUHUYN","Device current-voltage data, microscopy and diffraction morphology data, spectral data, thermoelectric data","Mukhopadhyaya, Tushita; Lee, Taein D.; Ganley, Connor; Tanwar, Swati; Raj, Piyush; Li, Lulin; Song, Yunjia; Clancy, Paulette; Barman, Ishan; Thon, Susanna; Katz, Howard E., 2023, ""Data associated with the publication: Stable high-conductivity ethylenedioxythiophene polymers via borane-adduct doping"", <a href=""https://doi.org/10.7281/T1/YUHUYN"" target=""_blank"">https://doi.org/10.7281/T1/YUHUYN</a>, Johns Hopkins Research Data Repository, V1","2023-05-23T20:37:12Z","Dr. Howard Katz NSF-supported projects","Mukhopadhyaya, Tushita; Lee, Taein D.; Ganley, Connor; Tanwar, Swati; Raj, Piyush; Li, Lulin; Song, Yunjia; Clancy, Paulette; Barman, Ishan; Thon, Susanna; Katz, Howard E., 2023, ""Data associated with the publication: Stable high-conductivity ethylenedioxythiophene polymers via borane-adduct doping"", https://doi.org/10.7281/T1/YUHUYN, Johns Hopkins Research Data Repository, V1",8
"70","doi:10.7281/T1/1MQMFC","HKatz_NSF","Data associated with the publication: Relation among absorbance shifts, mineralization morphology, and electronic conductivity of π-peptide aggregates with different amino acid residues","https://doi.org/10.7281/T1/1MQMFC","This file contains original instrument data for material conductivities, scanning electron microscopy, atomic force microscopy, ultraviolet spectroscopy, and x-ray diffraction. Additional images of chemical structures and proposed assemblies are given. Files are labelled according to the core-peptide compound being co-assembled with the mineral.","Lee, Taein D.; Panda, Sayak; Hall, Grant; Song, Yunjia; Tovar, John D.; Katz, Howard E., 2023, ""Data associated with the publication: Relation among absorbance shifts, mineralization morphology, and electronic conductivity of &pi;-peptide aggregates with different amino acid residues"", <a href=""https://doi.org/10.7281/T1/1MQMFC"" target=""_blank"">https://doi.org/10.7281/T1/1MQMFC</a>, Johns Hopkins Research Data Repository, V1","2023-05-23T20:37:37Z","Dr. Howard Katz NSF-supported projects","Lee, Taein D.; Panda, Sayak; Hall, Grant; Song, Yunjia; Tovar, John D.; Katz, Howard E., 2023, ""Data associated with the publication: Relation among absorbance shifts, mineralization morphology, and electronic conductivity of π-peptide aggregates with different amino acid residues"", https://doi.org/10.7281/T1/1MQMFC, Johns Hopkins Research Data Repository, V1",6
"71","doi:10.7281/T1/F1GCSB","root","Data associated with the publication: Transplantation Elicits a Clonally Diverse CD8+ T Cell Response that is Comprised of Potent CD43+ Effectors.","https://doi.org/10.7281/T1/F1GCSB","TCRB sequences were obtained using the Framework Region 3 Amplifikation Sequencing platform. C57Bl/6 mice were grafted with Balb/c skin grafts. Before transplant or on day 10 post-transplant, CD8+ T cells were flow cytometrically sorted into CD44+ and CD44- populations that were positive or negative for the allogeneic epitope H-2L(d) QL9. Skin graft tissue and blood samples were also collected (unsorted).","Cohen, Gregory S.; Jayaraman, Sahana; Larman, H. Benjamin; Krummey, Scott M., 2023, ""Data associated with the publication: Transplantation Elicits a Clonally Diverse CD8+ T&nbsp;Cell&nbsp;Response that is Comprised of Potent CD43+ Effectors."", <a href=""https://doi.org/10.7281/T1/F1GCSB"" target=""_blank"">https://doi.org/10.7281/T1/F1GCSB</a>, Johns Hopkins Research Data Repository, V1","2023-09-13T18:07:50Z","Johns Hopkins Research Data Repository","Cohen, Gregory S.; Jayaraman, Sahana; Larman, H. Benjamin; Krummey, Scott M., 2023, ""Data associated with the publication: Transplantation Elicits a Clonally Diverse CD8+ T Cell Response that is Comprised of Potent CD43+ Effectors."", https://doi.org/10.7281/T1/F1GCSB, Johns Hopkins Research Data Repository, V1",2
"72","doi:10.7281/T1/YC5BS6","root","Data associated with the publication: A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus).","https://doi.org/10.7281/T1/YC5BS6","Vocal recordings from marmoset colony, categorized by call types and subjects.","Agamaite, James A.; Chang, Chia-Jung; Osmanski, Michael S.; Wang, Xiaoqin, 2023, ""Data associated with the publication: A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus)."", <a href=""https://doi.org/10.7281/T1/YC5BS6"" target=""_blank"">https://doi.org/10.7281/T1/YC5BS6</a>, Johns Hopkins Research Data Repository, V1","2023-10-18T17:06:58Z","Johns Hopkins Research Data Repository","Agamaite, James A.; Chang, Chia-Jung; Osmanski, Michael S.; Wang, Xiaoqin, 2023, ""Data associated with the publication: A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus)."", https://doi.org/10.7281/T1/YC5BS6, Johns Hopkins Research Data Repository, V1",4
"73","doi:10.7281/T1/AGLFQ2","root","Data associated with: AHA grant 20SRG35490443 Cardiac Sarcomere Dysfunction in HFpEF.","https://doi.org/10.7281/T1/AGLFQ2","Heart failure with preserved ejection fraction (HFpEF) has few effective therapies yet exacts substantial mortality. Its multi-system nature has made animal modeling difficult, but recent efforts combining diet-induced obesity and hemodynamic stress are popular: mouse - L-NAME/high-fat diet (HFD), the ZSF1 rat which combines leptin deficiency with genetic-based diabetes, hypertensive and heart failure phenotypes, and an obese/hypertensive Göttingen minipig. We have reported that human HFpEF myocytes particular from patients who are obese display a profound reduction in systolic Ca2+-activated tension, that is negatively correlated with body mass index (Circulation. 2021;143:965–967). Here we tested whether such deficits are found in these three HFpEF animal models. Of the three models, we only find a change in systolic level calcium activated tension in the Göttingen minipig. The mouse and rat models show results that are superimposable with their respective controls. The data are from permeabilized myocytes obtained from the heart tissue for each model and respective controls. The data file provides the raw data for myocyte cross section area, measured force at fixed sarcomere length (2.1 µ), and then the different calcium concentrations used.","Jani, Vivek P.; Fenwick, Axel; Sharp, Thomas; Doiron, Jake; LaPenna, Kyle B.; Goodchild, Traci; Jiang, Nan; Gillette, Thomas; Hill, Joseph A.; Lefer, David; Mishra, Sumita; Kass, David A., 2024, ""Data associated with: AHA grant 20SRG35490443 Cardiac Sarcomere Dysfunction in HFpEF."", <a href=""https://doi.org/10.7281/T1/AGLFQ2"" target=""_blank"">https://doi.org/10.7281/T1/AGLFQ2</a>, Johns Hopkins Research Data Repository, V1","2024-03-18T18:32:52Z","Johns Hopkins Research Data Repository","Jani, Vivek P.; Fenwick, Axel; Sharp, Thomas; Doiron, Jake; LaPenna, Kyle B.; Goodchild, Traci; Jiang, Nan; Gillette, Thomas; Hill, Joseph A.; Lefer, David; Mishra, Sumita; Kass, David A., 2024, ""Data associated with: AHA grant 20SRG35490443 Cardiac Sarcomere Dysfunction in HFpEF."", https://doi.org/10.7281/T1/AGLFQ2, Johns Hopkins Research Data Repository, V1",5
"74","doi:10.7281/T1C8276W","RvonderHeydt_NeurophysVP_Lab","Data associated with the publication: Figure-ground organization in visual cortex for natural scenes.","https://doi.org/10.7281/T1C8276W","Figure-ground organization and border-ownership assignment are essential for understanding natural scenes. It has been shown that many neurons in the macaque visual cortex signal border-ownership in displays of simple geometric shapes such as squares, but how well these neurons resolve border-ownership in natural scenes is not known. We studied area V2 neurons in behaving macaques with static images of complex natural scenes. We found that about half of the neurons were border-ownership selective for contours in natural scenes and this selectivity originated from the image context. The border-ownership signals emerged within 70 ms after stimulus onset, only ~ 30 ms after response onset. A substantial fraction of neurons were highly consistent across scenes. Thus, the cortical mechanisms of figure-ground organization are fast and efficient even in images of complex natural scenes. Understanding how the brain performs this task so fast remains a challenge.","Williford, Jonathan R.; von der Heydt, R&uuml;diger, 2016, ""Data associated with the publication: Figure-ground organization in visual cortex for natural scenes."", <a href=""https://doi.org/10.7281/T1C8276W"" target=""_blank"">https://doi.org/10.7281/T1C8276W</a>, Johns Hopkins Research Data Repository, V3","2017-08-22T12:23:07Z"," Rüdiger von der Heydt’s Neurophysiology of Visual Perception Lab","Williford, Jonathan R.; von der Heydt, Rüdiger, 2016, ""Data associated with the publication: Figure-ground organization in visual cortex for natural scenes."", https://doi.org/10.7281/T1C8276W, Johns Hopkins Research Data Repository, V3",53
"75","doi:10.7281/T1/ZPGBJW","root","Oral health during pregnancy in rural Nepal: a community-based cohort study of practices, periodontal status, and pregnancy outcomes","https://doi.org/10.7281/T1/ZPGBJW","Annually, almost three million babies die prior to 28 days of life; the number one cause of these deaths both in high- and low-income settings is complications arising from preterm birth. Therapeutic options for managing preterm birth are generally unavailable for 98% of the almost 15 million preterm babies born each year, and the evidence base for preventative interventions is lacking. One area that has been substantially neglected in developing countries is the role that poor oral health may play raising the likelihood of early spontaneous delivery. There is epidemiologic and microbiologic evidence for an association between maternal periodontal disease and preterm birth, however, causal mechanisms are not fully understood, and results from randomized trials intervening on mothers with periodontal therapies to reduce prematurity have been mixed. In 2014, we initiated a community-based project to examine this question in a high burden setting with low levels of confounding risk factors. Sarlahi District in southern Nepal fit this description, with high rates of neonatal mortality (28 / 1,000 live births), preterm birth (17%), low birth weight (30%), poor oral health, and low rates of smoking, alcohol use, and chronic diseases. The overall objective of our study was to assess the epidemiologic relationship between periodontal disease and preterm birth and investigate causal mechanisms on the pathway from oral infection to early spontaneous delivery. Our specific aims included the following: 1. Assess the incidence of preterm birth among women with / without periodontitis 2. Examine relationships between causal mechanisms, specifically clinical signs of periodontitis, subgingival biofilm composition, and levels of inflammatory mediators in gingival crevicular fluid and serum 3. Conduct a small pilot trial to estimate the association between adherence to a 0.12% chlorhexidine (non-alcohol) daily mouthrinse and subgingival biofilm composition and levels of inflammatory mediators in gingival crevicular fluid and serum 4. Describe the knowledge, attitudes, and practices related to oral hygiene among women and health professionals in the community","Mullany, Luke C.; Erchick, Daniel J.; Khatry, Subarna K.; Agrawal, Nitin K.; Reynolds, Mark A.; Rai, Bhola; Lubon, Agnieszka; LeClerq, Steven C.; Katz, Joanne, 2018, ""Oral health during pregnancy in rural Nepal: a community-based cohort study of practices, periodontal status, and pregnancy outcomes"", <a href=""https://doi.org/10.7281/T1/ZPGBJW"" target=""_blank"">https://doi.org/10.7281/T1/ZPGBJW</a>, Johns Hopkins Research Data Repository, V2","2019-01-10T14:47:37Z","Johns Hopkins Research Data Repository","Mullany, Luke C.; Erchick, Daniel J.; Khatry, Subarna K.; Agrawal, Nitin K.; Reynolds, Mark A.; Rai, Bhola; Lubon, Agnieszka; LeClerq, Steven C.; Katz, Joanne, 2018, ""Oral health during pregnancy in rural Nepal: a community-based cohort study of practices, periodontal status, and pregnancy outcomes"", https://doi.org/10.7281/T1/ZPGBJW, Johns Hopkins Research Data Repository, V2",82
"76","doi:10.7281/T1/CLTDND","Segal","Algorithms, SAS code, and documentation supporting the Johns Hopkins Overuse Index","https://doi.org/10.7281/T1/CLTDND","Algorithms, SAS code, and documentation supporting the Johns Hopkins Overuse Index. We used the IBM (formerly Truven) MarketScan® data to generate the Johns Hopkins Overuse Index that we had previously developed using Medicare claims data. These resources have supported our work in understanding regional overuse of healthcare resources across time, for examining possible drivers of overuse, and for evaluating the impact of the Maryland Global Budget Revenue waiver on overuse in the State.","Oakes, Allison H.; Chang, Hsien-Yen; Segal, Jodi B., 2019, ""Algorithms, SAS code, and documentation supporting the Johns Hopkins Overuse Index"", <a href=""https://doi.org/10.7281/T1/CLTDND"" target=""_blank"">https://doi.org/10.7281/T1/CLTDND</a>, Johns Hopkins Research Data Repository, V1","2019-06-26T17:45:57Z","Overuse of Healthcare Resources in Older Adults","Oakes, Allison H.; Chang, Hsien-Yen; Segal, Jodi B., 2019, ""Algorithms, SAS code, and documentation supporting the Johns Hopkins Overuse Index"", https://doi.org/10.7281/T1/CLTDND, Johns Hopkins Research Data Repository, V1",154
"77","doi:10.7281/T1/LW2H2F","root","Data associated with A Comprehensive Snapshot of Tuberculosis Transmission in an Urban Ugandan Community (STOMP-TB Study)","https://doi.org/10.7281/T1/LW2H2F","Lack of access to health facilities may be a barrier to initiating and completing tuberculosis (TB) treatment. We aimed to evaluate whether distance from residence to health facility is associated with treatment outcomes. We conducted a retrospective cohort study of all patients initiating TB treatment at six health facilities in Kampala from 2014-2016. Six facilities (one public and five private) whose catchment areas include the parishes of Kisugu and Wabigalo were selected and data from all patients receiving treatment at these facilities were abstracted from routinely used TB registers. This data was used to investigate associations between distance to treating facility and unfavorable TB treatment outcomes.","Dowdy, David W.; Robsky, Katherine, 2019, ""Data associated with A Comprehensive Snapshot of Tuberculosis Transmission in an Urban Ugandan Community (STOMP-TB Study)"", <a href=""https://doi.org/10.7281/T1/LW2H2F"" target=""_blank"">https://doi.org/10.7281/T1/LW2H2F</a>, Johns Hopkins Research Data Repository, V1, UNF:6:PJPMCFtCOx6tOBLOG73CaQ== [fileUNF]","2019-11-26T16:27:19Z","Johns Hopkins Research Data Repository","Dowdy, David W.; Robsky, Katherine, 2019, ""Data associated with A Comprehensive Snapshot of Tuberculosis Transmission in an Urban Ugandan Community (STOMP-TB Study)"", https://doi.org/10.7281/T1/LW2H2F, Johns Hopkins Research Data Repository, V1, UNF:6:PJPMCFtCOx6tOBLOG73CaQ== [fileUNF]",51
"78","doi:10.7281/T1/2K70CX","root","Data associated with NNIPS-Nepal Quality of Maternal and Newborn Care Study","https://doi.org/10.7281/T1/2K70CX","This collection contains datasets and relevant data collection instruments associated with peer-reviewed publications generated from the NNIPS-Nepal Quality of Maternal and Newborn Care Study.","Mullany, Luke C.; Lama, Tsering P.; Katz, Joanne; Tielsch, James M.; Khatry, Subarna K., 2020, ""Data associated with NNIPS-Nepal Quality of Maternal and Newborn Care Study"", <a href=""https://doi.org/10.7281/T1/2K70CX"" target=""_blank"">https://doi.org/10.7281/T1/2K70CX</a>, Johns Hopkins Research Data Repository, V1","2020-01-13T15:17:50Z","Johns Hopkins Research Data Repository","Mullany, Luke C.; Lama, Tsering P.; Katz, Joanne; Tielsch, James M.; Khatry, Subarna K., 2020, ""Data associated with NNIPS-Nepal Quality of Maternal and Newborn Care Study"", https://doi.org/10.7281/T1/2K70CX, Johns Hopkins Research Data Repository, V1",79
"79","doi:10.7281/T1/QA0SFN","CRRE","Data associated with the publication: A Synthesis of Quantitative Research on Programs For Struggling Readers in Elementary Schools","https://doi.org/10.7281/T1/QA0SFN","This article reviews research on the outcomes of diverse reading programs on the achievement of struggling readers in elementary schools. Sixty-five studies of 51 different programs met rigorous standards. Eighty-three percent were randomized experiments and 17% quasi-experiments. Outcomes were positive for one-to-one tutoring and were positive but not as large for one-to-small group tutoring. There were no differences in outcomes between teachers and teaching assistants as tutors. Whole-class approaches (mostly cooperative learning) and whole-class/whole-school approaches incorporating tutoring for struggling readers obtained outcomes for struggling readers as large as those found for all forms of tutoring, on average, and benefitted many more students. Technology-supported adaptive instruction did not have significant positive outcomes for struggling readers, however. In agreement with previous reviews, this synthesis found that substantial impacts can be obtained for struggling readers with interventions aligned within a response to intervention network.","Neitzel, Amanda; Lake, Cynthia; Pellegrini, Marta; Slavin, Robert, 2020, ""Data associated with the publication: A Synthesis of Quantitative Research on Programs For Struggling Readers in Elementary Schools"", <a href=""https://doi.org/10.7281/T1/QA0SFN"" target=""_blank"">https://doi.org/10.7281/T1/QA0SFN</a>, Johns Hopkins Research Data Repository, V1, UNF:6:Jz3lm2yVUYrxap8z/55fkA== [fileUNF]","2020-11-23T17:56:48Z","Evidence-Based Education","Neitzel, Amanda; Lake, Cynthia; Pellegrini, Marta; Slavin, Robert, 2020, ""Data associated with the publication: A Synthesis of Quantitative Research on Programs For Struggling Readers in Elementary Schools"", https://doi.org/10.7281/T1/QA0SFN, Johns Hopkins Research Data Repository, V1, UNF:6:Jz3lm2yVUYrxap8z/55fkA== [fileUNF]",77
"80","doi:10.7281/T1/T3SA2Z","hydroclimate","Data associated with the publication: Carter, A.W. et al. (2020) Methods for estimating Wet Bulb Globe Temperature from remote and low-cost data: a comparative study in central Alabama. GeoHealth.","https://doi.org/10.7281/T1/T3SA2Z","This archive contains data used in the publication Carter et al. (2020). These include hourly estimates of Wet Bulb Global Temperature (WBGT) and relevant supporting variables recorded by Kestrel 5400 Heat Stress Tracker instruments installed at three sites in Alabama—downtown Birmingham, suburban Birmingham, and rural Wilcox County—and hourly temperature and relative humidity estimates recorded by a network of Maxim Integrated Products, Inc. Model DS1923 Hygrochron iButtons distributed around Birmingham and Wilcox County. Details of these measurement networks and information on how the measurements were used in WBGT calculations are provided in Carter et al. (2020).","Carter, Anabel W.; Zaitchik, Benjamin F.; Gohlke, Julia M.; Wang, Suwei; Richardson, Molly B., 2020, ""Data associated with the publication: Carter, A.W. et al. (2020) Methods for estimating Wet Bulb Globe Temperature from remote and low-cost data: a comparative study in central Alabama. GeoHealth."", <a href=""https://doi.org/10.7281/T1/T3SA2Z"" target=""_blank"">https://doi.org/10.7281/T1/T3SA2Z</a>, Johns Hopkins Research Data Repository, V1","2020-04-13T21:12:23Z","Hydroclimate Research Group","Carter, Anabel W.; Zaitchik, Benjamin F.; Gohlke, Julia M.; Wang, Suwei; Richardson, Molly B., 2020, ""Data associated with the publication: Carter, A.W. et al. (2020) Methods for estimating Wet Bulb Globe Temperature from remote and low-cost data: a comparative study in central Alabama. GeoHealth."", https://doi.org/10.7281/T1/T3SA2Z, Johns Hopkins Research Data Repository, V1",28
"81","doi:10.7281/T1/VZZOJB","root","Data associated with the publication: Clumped-isotope geothermometry and carbonate U–Pb geochronology of the Alta stock metamorphic aureole, Utah, USA: Insights on the kinetics of metamorphism in carbonates","https://doi.org/10.7281/T1/VZZOJB","This supporting information includes text detailing the specifics of thermal and clumped-isotope reordering models. Figures include a comparison of clumped-isotope data collected in different laboratories, field photos of outcrops within the forsterite zone, electron dispersive X-ray images and spectra for dated samples, and additional plots of clumped-isotope re-equilibration modeling, including replication of Figure 6 from main text for calcite, burial and exhumation kinetic modeling in the absence of contact metamorphism, results for “disordered” model of Hemingway and Henkes (2020), and Monte Carlo simulations of dolomite clumped-isotope re-equilibration kinetic parameters. Tables provide complete analytical data for clumped-isotope measurements, thermal model input parameters, and inter-laboratory comparison clumped-isotope data. The data set provides data for U–Pb analysis.","Brenner, Dana C.; Passey, Benjamin H.; Holder, Robert M.; Viete, Daniel R., 2021, ""Data associated with the publication: Clumped-isotope geothermometry and carbonate U&ndash;Pb geochronology of the Alta stock metamorphic aureole, Utah, USA: Insights on the kinetics of metamorphism in carbonates"", <a href=""https://doi.org/10.7281/T1/VZZOJB"" target=""_blank"">https://doi.org/10.7281/T1/VZZOJB</a>, Johns Hopkins Research Data Repository, V1","2021-03-02T14:37:44Z","Johns Hopkins Research Data Repository","Brenner, Dana C.; Passey, Benjamin H.; Holder, Robert M.; Viete, Daniel R., 2021, ""Data associated with the publication: Clumped-isotope geothermometry and carbonate U–Pb geochronology of the Alta stock metamorphic aureole, Utah, USA: Insights on the kinetics of metamorphism in carbonates"", https://doi.org/10.7281/T1/VZZOJB, Johns Hopkins Research Data Repository, V1",37
"82","doi:10.7281/T1/M4FJUL","HKatz_NSF","Data associated with publication: Enhanced and unconventional responses in chemiresistive sensing devices for nitrogen dioxide and ammonia from carboxylated alkylthiophene polymers","https://doi.org/10.7281/T1/M4FJUL","The data consists of all raw and processed data pertaining to this publication. Data (Part 1) consists of compilation of semiconductor characteristics of polymers without gas exposure and with gas exposure (concentration range of ammonia and nitrogen dioxide). In addition, raw data for remote gate sensing are included. In Data (Part 2), 4 point conductivity measurements, GPC, XPS, and processed data compilations and figures are included. From the article abstract: A carboxylated thiophene polymer-based chemiresistive device in a field-effect transistor (FET) configuration with unusual and enhanced responses to the widespread pollutants nitrogen dioxide (NO2) and ammonia (NH3) is described. The device based on a polymeric thiophene carboxylic acid showed a dramatic and superlinear increase in drain current (ID) of over 15000% to a ramped exposure to 10 ppm NO2 over several minutes, while its ethyl ester counterpart had significantly lower response. Devices incorporating either an ester or carboxylic acid displayed comparable and previously unreported increases in (ID from 10 ppm ramped NH3 exposure of 200–300%. Conventional poly(alkylthiophenes) showed the expected current decreases from similar NH3 exposures. Using threshold voltage shifts in silicon transistors coupled to our recently reported remote gate (RG) platform with thiophene polymer coatings, we determined that two differing response mechanisms are associated with the two gas exposures. By calculating the charge density induced in the polymers by NO2 exposure using the silicon transistor voltage shifts, we conclude that proton conduction contributes significantly to the high sensitivity of the carboxylic acid to NO2, in addition to doping that was observed for all four polymers. Furthermore, hydrogen bonding moieties of the carboxylic acid and ester may be able to physisorb NH3 and thus alter the charge distribution, rearrange polymer chains, and/or create a proton transfer network leading to the ID increase that is the opposite of the response obtained from non-carboxylated thiophene polymers.","Wagner, Justine; Jang, Hyun June; Han, Jinfeng; Katz, Howard E., 2021, ""Data associated with publication: Enhanced and unconventional responses in chemiresistive sensing devices for nitrogen dioxide and ammonia from carboxylated alkylthiophene polymers"", <a href=""https://doi.org/10.7281/T1/M4FJUL"" target=""_blank"">https://doi.org/10.7281/T1/M4FJUL</a>, Johns Hopkins Research Data Repository, V1","2021-03-18T15:19:14Z","Dr. Howard Katz NSF-supported projects","Wagner, Justine; Jang, Hyun June; Han, Jinfeng; Katz, Howard E., 2021, ""Data associated with publication: Enhanced and unconventional responses in chemiresistive sensing devices for nitrogen dioxide and ammonia from carboxylated alkylthiophene polymers"", https://doi.org/10.7281/T1/M4FJUL, Johns Hopkins Research Data Repository, V1",10
"83","doi:10.7281/T1/LR1FMH","root","Data associated with the publication: Geographic regions enriched with frail older adults","https://doi.org/10.7281/T1/LR1FMH","Frail individuals are at particular risk in public health emergencies. Information about the concentration of frail individuals is expected to be valuable to health departments and other organizations with resources to deploy such as shelter, hospital beds, and ventilators. Additionally, researchers benefit from granular measures of frailty in communities for health services research or community-based research. We aimed to generate the probability of frailty for 100% of U.S. Medicare beneficiaries in the U.S. using a claims-based frailty index and describe the regional prevalence of frailty. We used a cross-sectional design using data from April through October 2015. We included 100% of Medicare beneficiaries with parts A and B coverage (n= 31,609,883) and calculated the probability of frailty using a validated claims-based frailty index. We report the prevalence of frail adults within each census division, state, county and U.S. zip code as the proportion of Medicare beneficiaries with a frailty probability greater than 20%. This dataset is our estimate of the percent of frail individuals (in 2015) for each zip code and county in the U.S. We anticipate this data set is useful for health services researchers and for individuals planning services. The estimates at the level of the census division and state are available in the published manuscript.","Segal, Jodi B.; Huang, Jin; Zhu, Jiafeng; Varadhan, Ravi, 2021, ""Data associated with the publication: Geographic regions enriched with frail older adults"", <a href=""https://doi.org/10.7281/T1/LR1FMH"" target=""_blank"">https://doi.org/10.7281/T1/LR1FMH</a>, Johns Hopkins Research Data Repository, V1","2021-07-30T17:40:19Z","Johns Hopkins Research Data Repository","Segal, Jodi B.; Huang, Jin; Zhu, Jiafeng; Varadhan, Ravi, 2021, ""Data associated with the publication: Geographic regions enriched with frail older adults"", https://doi.org/10.7281/T1/LR1FMH, Johns Hopkins Research Data Repository, V1",18
"84","doi:10.7281/T1/DTCK4M","OveruseIndex","Overuse Index reported by state","https://doi.org/10.7281/T1/DTCK4M","We examined overuse among Medicare beneficiaries at the state level by generating the Overuse Index, for each U.S. state and the District of Columbia. We previously created an Overuse Index that uses billing codes for diverse clinical services that act as indicators to reflect the latent tendency of a region to overuse health care resources relative to other regions. We newly operationalized our approach to first measure overuse among Medicare beneficiaries within hospitals and their associated outpatient clinics, before we apply the model to generate the Overuse Index at the levels of interest (health systems, regions, or states.) We accessed 100% of the inpatient and outpatient claims, and the Master Beneficiary Summary files of Medicare beneficiaries from July 2015 through December 2018 through the Center for Medicare and Medicaid Services’ (CMS) Virtual Research Data Center (VRDC). Seventeen indicator procedures contributed to the Overuse Index. This set included five new indicators compared to our earlier work. We ran a model across the 17 indicators with fixed effects for states, indictors, and year-quarter; hospital-level random effects, and hospital-level patient characteristics. The fixed effects for the states are the Overuse Index for that state, and represent the tendency for state-wide overuse of healthcare relative to the average state. This was then normalized so the average is 0 with a S.D. of 1.","Segal, Jodi B.; Hutfless, Susan; Sen, Aditi, 2021, ""Overuse Index reported by state"", <a href=""https://doi.org/10.7281/T1/DTCK4M"" target=""_blank"">https://doi.org/10.7281/T1/DTCK4M</a>, Johns Hopkins Research Data Repository, V1, UNF:6:LgCuCBcstFNzPHcOVHRgwA== [fileUNF]","2021-09-09T17:10:19Z","Algorithms, SAS code, and documentation supporting the Overuse of Healthcare","Segal, Jodi B.; Hutfless, Susan; Sen, Aditi, 2021, ""Overuse Index reported by state"", https://doi.org/10.7281/T1/DTCK4M, Johns Hopkins Research Data Repository, V1, UNF:6:LgCuCBcstFNzPHcOVHRgwA== [fileUNF]",138
