"","software_id","dataset_id","sw_license_id","title","description","repo_link"
"11","Other","doi.org/10.7281/T1/CLTDND",3,"SAS code for constructing JHOIv5","SAS code enclosed within the file ""Instructions and SAS code for constructing JHOI v5""",NA
"12","R","doi.org/10.7281/T18G8HM0",2,"Software associated with An Improved Method for Interpretation of Riverine Concentration-Discharge Relationships Indicates Long-Term Shifts in Reservoir Sediment Trapping","R scripts for the extraction and graphical presentation of WRTDS model coefficients, as a means of interpreting concentration-discharge relationships in riverine monitoring data. The essential steps and associated files are described using a case study on suspended sediment concentration in Susquehanna River at Conowingo Dam, MD. The data and scripts stored here are also those used in the associated journal article.",NA
"13","MATLAB","doi.org/10.7281/T1D798BQ",2,"Software associated with publication ""Dynamic modulation of visual and electrosensory gains for locomotor control""","All code used to analyze and generate the files in ""Data.zip"" and all published figures. All code tested on MATLAB R2014b.",NA
"14","R","doi.org/10.7281/T1/LJZQPI",3,"R Project associated with the publication 'Demonstrating the Impact of POLST Forms on Hospital Care Requires Information not Contained in State Registries'","Contains a .Rmd (markdown file) that produces both the final manuscript, the statistical analysis and figures, a .csv file containing a de-identified version of the study data, a .pdf codebook, and a .pdf copy of the final manuscript.",NA
"15","MATLAB","doi.org/10.7281/T1/4F90KQ",3,"Software associated with publication ""Biologically inspired catheter for endovascular sensing and navigation""","This archive provides the data (both raw and the processed) and code (MATLAB scripts and COMSOL files) used to generate the results in Sutton et al., (2020). The software was run with MATLAB version 2019a on Windows 10 Enterprise. The Matlab scripts have dependencies for the DSP System Toolbox, Curve Fitting Toolbox, and Econometrics Toolbox.",NA
"16","MATLAB","doi.org/10.7281/T1/87PH8T",3,"Software associated with the publication “De novo learning versus adaptation of continuous control in a manual tracking task”","<p>There are three zip files in this collection and all associated with the article ""De novo learning versus adaptation of continuous control in a manual tracking task.""</p>
<p>The <b>Figures for tracking task</b> folder contains raw data and MATLAB code necessary to generate Figures 2B-6 and and all figure supplements from the paper. Data was collected from the tracking task. You can also download it from GitHub <a href=""https://github.com/Christopher-Yang/tracking/tree/yang2020denovo"">https://github.com/Christopher-Yang/tracking/tree/yang2020denovo (commit: fee7132)</a></p> 
<p>The <b>Figures for point-to-point task</b> folder contains raw data and MATLAB code necessary to generate Figure 2A from the paper. Data was collected from the point-to-point task. You can also download it from GitHub <a href=""https://github.com/Christopher-Yang/p2p/tree/yang2020denovo"">https://github.com/Christopher-Yang/p2p/tree/yang2020denovo (commit: ac17784)</a></p>
<p>The <b>Stats</b> folder contains processed data and R code necessary to perform all statistical analysis reported in the paper.</p>","https://github.com/Christopher-Yang"
"17","R","doi.org/10.7281/T1/87PH8T",3,"Software associated with the publication “De novo learning versus adaptation of continuous control in a manual tracking task”","<p>There are three zip files in this collection and all associated with the article ""De novo learning versus adaptation of continuous control in a manual tracking task.""</p>
<p>The <b>Figures for tracking task</b> folder contains raw data and MATLAB code necessary to generate Figures 2B-6 and and all figure supplements from the paper. Data was collected from the tracking task. You can also download it from GitHub <a href=""https://github.com/Christopher-Yang/tracking/tree/yang2020denovo"">https://github.com/Christopher-Yang/tracking/tree/yang2020denovo (commit: fee7132)</a></p> 
<p>The <b>Figures for point-to-point task</b> folder contains raw data and MATLAB code necessary to generate Figure 2A from the paper. Data was collected from the point-to-point task. You can also download it from GitHub <a href=""https://github.com/Christopher-Yang/p2p/tree/yang2020denovo"">https://github.com/Christopher-Yang/p2p/tree/yang2020denovo (commit: ac17784)</a></p>
<p>The <b>Stats</b> folder contains processed data and R code necessary to perform all statistical analysis reported in the paper.</p>","https://github.com/Christopher-Yang"
"18","Python","doi.org/10.7281/T1/EP0W7Y",3,"Object_Permanence_through_AudioVisual_Representations","In the GitHub release linked here, we provide code for the training model and checkpoints that was trained using this dataset.","https://github.com/intuitivecomputing/Object_Permanence_through_AudioVisual_Representations"
"19","Stata do-file","doi.org/10.7281/T1/VSW3JU",3,"STOMP Mobility Code","Analysis code for the publication: Characterization of geographic mobility among participants in facility- and community-based tuberculosis case finding in urban Uganda.",NA
"20","MATLAB","doi.org/10.7281/T1/EHSEV2",3,"Code associated with the the publication: Sedimentary Pyrite Formation in a Seasonally Oxygen-Stressed Estuary: Potential Imprints of Microbial Ecology and Position-Specific Isotope Fractionation","This software consists of one Matlab file containing (1) a numerical model followed by (2) code that generates graphics of the model results. The model describes the steady-state partitioning of sulfur isotopes (34S and 32S) according to their positions in polysulfide molecules, i.e. position-specific isotope fractionation. It uses the calculated position-specific fractionations to estimate the resulting isotopic offset between polysulfide, elemental sulfur, and pyrite. The code is intended for analysis of position-specific effects in polysulfide. No further updates to the code are currently planned.",NA
"21","Python","doi.org/10.7281/T1/HW66X3",3,"Software for the Analysis and Continuous Monitoring of Electrochemical Systems (SACMES)","This is a copy of scripts from <a href=""https://github.com/netzlab/SACMES"">https://github.com/netzlab/SACMES</a> (commit: 9648ea9). Each script analyzes data from specific electrochemical techniques in real time and exports the data into space delimited txt files. Each script runs off of an multithreaded animation module known as ElectrochemicalAnimation and can analyze any number of electrodes simultaneously.","https://github.com/netzlab/SACMES"
"22","R","doi.org/10.7281/T1VD6WC7",2,"Data associated with Long-term Trends of Nutrients and Sediment from the Nontidal Chesapeake Watershed: An Assessment of Progress by River and Season","R scripts used for running WRTDS analysis for five water-quality species (total nitrogen, total phosphorus, dissolved nitrogen, dissolved phosphorus, suspended sediment) at each of the nine monitoring sites and R scripts used for making plots of nutrient and sediment trends (i.e., figures contained in folder No.5).",NA
"23","R","doi.org/10.7281/T1QN64NW",2,"Software associated with Decadal-scale export of nitrogen, phosphorus, and sediment from the Susquehanna River basin, USA: Analysis and synthesis of temporal and spatial patterns","The file A2. SRB_WRTDS_model_run.zip contains all the R software scripts used for running WRTDS analysis for the seven stations for each constituent.
For all sites, the WRTDS method (Hirsch et al., 2010) has been implemented using its upgraded form, the EGRET (Exploration and Graphics for RivEr Trends), which is publicly available at https://github.com/USGS-R/EGRET/wiki. Interested readers shall visit this website for details on package installation, sample workflow, and user manual. All R scripts created for running EGRET are contained in the sub-folder “R scripts/EGRET”. In particular, five R scripts, namely, “EGRET_Batch_Run_for_TN.R”, “EGRET_Batch_Run_for_DN.R”, “EGRET_Batch_Run_for_TP.R”, “EGRET_Batch_Run_for_DP.R”, and “EGRET_Batch_Run_for_SS.R” were used to run batch estimation for TN, DN, TP, DP, and SS, respectively. The last R script, “EGRET_Estimates_Extraction.R”, was used to extract loading estimates that are being stored in the .Rdata files (see Section 3.2) at various temporal resolutions.",NA
"24","MATLAB","doi.org/10.7281/T1/FWDYPW",3,"Code associated with the publication: Emergence of habitual control in a novel motor skill over multiple days of practice","MATLAB code for creating figures in the publication and R scripts for running statistical analysis.","https://github.com/Christopher-Yang/tracking/tree/habit"
"25","R","doi.org/10.7281/T1/FWDYPW",3,"Code associated with the publication: Emergence of habitual control in a novel motor skill over multiple days of practice","MATLAB code for creating figures in the publication and R scripts for running statistical analysis.","https://github.com/Christopher-Yang/tracking/tree/habit"
"26","R","doi.org/10.7281/T1/EAC3HJ",5,"Code associated with the publication: Shared satisfaction among residents living in multiracial neighborhoods","The repository contains data and files necessary to replicate the analyses in ""Shared Satisfaction among Residents Living in Multiracial Neighborhoods"" that will be published in the journal Social Problems.","https://github.com/mikebader/project-shared-satisfaction"
"27","Mathematica","doi.org/10.7281/T1/UP8RWD",3,"Code associated with the publication: An extended minimal model of OGTT: Estimation of alpha- and beta-cell dysfunction, insulin resistance, and the incretin effect","Code to fit the minimal model developed to data using nonlinear regression. It is a fully functional code.",NA
"28","MATLAB","doi.org/10.7281/T1/SMICE5",3,"Code associated with the publication: Long-term training alters response dynamics in the aging auditory cortex.","All MATLAB code used for analysis in the manuscript.",NA
"29","R","doi.org/10.7281/T1KW5CX5",2,"Data associated with Long-term seasonal trends of nitrogen, phosphorus, and suspended sediment load from the non-tidal Susquehanna River Basin to Chesapeake Bay","R scripts for WRTDS runs for eight water-quality constituents (i.e., total nitrogen, dissolved nitrogen, dissolved nitrate plus nitrite, dissolved Kjeldahl nitrogen, total phosphorus, dissolved phosphorus, dissolved orthophosphate, and suspended sediment) at each of the three monitoring sites in the lower Susquehanna River Basin (SRB). Additionally, unpublished  R codes for each of the three monitoring sites in the lower Susquehanna River Basin (LSRB) using data from longer records are included.",NA
"30","MATLAB","doi.org/10.7281/T1/J8UWFU",3,"Code associated with the publication: Auditory discrimination learning differentially modulates neural representation in auditory cortex subregions and interareal connectivity.","The MATLAB scripts for analysis and generating figures.",NA
"31","Python","doi.org/10.7281/T1/ZQZX80",3,"fdafm","Analyzing atomic force microscopy (Multimode NanoScrope IIId AFM Bruker) force-distance curve raw data to extrapolate adhesive force, adhesive energy, rupture length, repulsive energy, repulsive distance and sample indentation length.  GitHub repository includes sample folder to test code before downloading the raw dataset in this collection.","https://github.com/GaryZhangYue/fdafm"
"32","Stata do-file","doi.org/10.7281/T1/T81CEP",3,"STOMP Spatial Simulation Code","This code replicates the simulations presented in the manuscript:
""Spatial distribution of people diagnosed with tuberculosis through routine and active case finding: a community-based study in Kampala, Uganda""",NA
"33","Javascript","doi.org/10.7281/T1/QUDBC6",3,"Code associated with: The Maryland Food System Map","The code included with this dataset in the files section: ""Application_Code.zip"" was developed for the Maryland Food System Map in 2017. The code can be used to better understand how the Maryland Food System Map worked and assist developers who wish to create similar applications.",NA
"34","MATLAB","doi.org/10.7281/T1/AVOEQR",3,"Code associated with the publication: Cholinergic reinforcement signaling is impaired by amyloidosis prior to its synaptic loss.","The purpose of these scripts is to process fiber photometry data, isolate putative neurotransmitter release events, and quantify the properties of these events. It is intended for anyone needing to process photometry data. Every user should perform quality control to make sure threshold adjustments allow for reliable identification of release events (transients).",NA
"35","MATLAB","doi.org/10.7281/T1/VNFY91",3,"Code associated with the publication: Trends in estuarine pyrite formation point to an alternative model for Paleozoic pyrite burial","This code contains a modification of the pyrite burial term in the COPSE biogeochemical model, which is available at (<a href=""https://github.com/sjdaines/COPSE/releases"">https://github.com/sjdaines/COPSE/releases</a>). The section of code included here is meant to be inserted into the COPSE model file “copse_model_reloaded.m.” There is also an associated Matlab array file “L_x_age_fit.mat” that is referred to by the code. A text file contains a description of the different arrays in the .mat file and a note on where to insert the new code.  

The code’s purpose is to show the effects of variations in sedimentary pore water sulfide retention and seawater-pore water sulfate transfer efficiency over geological time. These variables are expected to have changed in response to bioturbation, i.e. the stirring and mixing of marine sediments by animals.",NA
"36","MATLAB","doi.org/10.7281/T1/C6MCOX",3,"Software associated with publication ""Sensory Cues Modulate Smooth Pursuit and Active Sensing Movements""","This archive provides the data (both raw and the processed) and MATLAB
scripts used to generate the results in Uyanik and Stamper et al.,
2019. Detailed descriptions are available in README files inside each
respective data folder.",NA
"37","Python","doi.org/10.7281/T1/IFSXNV",1,"Code associated with the publication: Automatic Annotation of Hip Anatomy in Fluoroscopy for Robust and Efficient 2D/3D Registration","Python code for training and testing the proposed models in this publication ""Grupp, R.B., Unberath, M., Gao, C. et al. Automatic annotation of hip anatomy in fluoroscopy for robust and efficient 2D/3D registration. International Journal of Computer Assisted Radiology and Surgery 15, 759–769 (2020). https://doi.org/10.1007/s11548-020-02162-7.""","https://github.com/rg2/DeepFluoroLabeling-IPCAI2020"
"38","MATLAB","doi.org/10.7281/T1/0L0OA0",3,"Codes associated with the publication: Toward accurate cerebral blood flow estimation in mice after accounting for anesthesia","The codes are for plotting the figures in the associated paper.",NA
"39","MATLAB","doi.org/10.7281/T1/PIVKJ7",3,"Code associated with the publication: Internal states as a source of subject-dependent movement variability and their representation by large-scale networks in the human brain","This repository contains the data and scripts used to generate the plots for the publication “Internal states as a source of subject-dependent movement variability and their representation by large-scale networks in the human brain.” It contains 6 folders. _data contains neural and behavioral data at various stages of processing as .mat files. _figures is where the figures will be saved after running the scripts saved as a .pdf. _library contains scripts downloaded from MATLAB’s File Exchange used for generating the figures. _scripts contains custom MATLAB scripts .m files used to generate the figures. Run MAIN.m to generate figures. Scripts and functions were created using MATLAB_R2021b. _table contains tables used for generating figures. It contains excel files and .txt files. _toolboxes contains the version of the open-source software used to generate the figures. The intended use of this code is to generate the figures for the publication from the processed data.",NA
"40","MATLAB","doi.org/10.7281/T1057CVH",2,"Software associated with: Controlling Colloidal Particles with Electric Fields","Matlab code to generate content in Figures 5 and 6.",NA
"41","MATLAB","doi.org/10.7281/T1/QQ77OB",3,"Code associated with the publication: De novo motor learning of a bimanual control task over multiple days of practice","MATLAB scripts for processing data and generating figures in the publication. A readme.txt file is included in every .zip file with instructions on how to run the analyses. Each .zip file can be run independently of the others.",NA
"42","MATLAB","doi.org/10.7281/T1/VXGDYH",3,"Code associated with the publication:  Orbitofrontal cortex conveys stimulus and task information to the auditory cortex","Code meant to analyze in vivo 2-photon imaging data of GCaMP6s expressed in putative orbitofrontal cortex in the mouse primary auditory cortex. Tones were presented in a passive dataset (FRANOISE) and during a tone detection task (Active).",NA
"43","MATLAB","doi.org/10.7281/T1154F09",2,"Software associated with: Size Dependent Thermodynamics and Kinetics in Electric Field Mediated Colloidal Crystal Assembly","MatLab codes used to produce: 1) video and experimental results in download File 1, 2) testing thermodynamic system size effects, and 3) video for File 3. (c.f. Sec. 1, Supplemental Info & Figs 1-3. See readme file if reproducing movies from code).",NA
"44","MATLAB","doi.org/10.7281/T1/BCARLC",5,NA,NA,NA
"45","Fortran","doi.org/10.7281/T1/NLHSKE",3,"Code associated with the publication: Reaction path model of the formation of abiotic immiscible hydrocarbon fluids in subducted ophicarbonates, Lanzo Massif (Western Italian Alps)","Code and data associated with the model simulation in the manuscript “Reaction Path Model of the Formation of Abiotic Immiscible Hydrocarbon Fluids in Subducted Ophicarbonates, Lanzo Massif (Western Italian Alps)”. The model simulated H2 fluid reacting with ophicarbonates with 15 vol% of aragonite and 85 vol% of serpentinite. The reactions were modeled at 400 to 500 °C and 1.0 to 2.0 GPa with fluid/rock (F/R) ratio of 0.1 and trace amount of initial C in fluids.",NA
"46","MATLAB","doi.org/10.7281/T1/UDTJPD",3,"Software associated with publication “Variability in Locomotor Dynamics Reveals the Critical Role of Feedback in Task Control”","This archive provides the data (both raw and the processed) and MATLAB
scripts used to generate the results in Uyanik et al., (2020). The software was run with MATLAB version R2018b on Mac OS 10.14.6.",NA
"47","Python","doi.org/10.7281/T1/UZIT7C",3,"Code associated with the publication: Microphysical simulations of Titan’s south polar HCN cloud during southern fall using TitanCARMA.","load_extinction.py is a python module and script that reads the calculated cloud particle extinctions from the text files output by the model. The file can be run as a script and provided with the extinction file name to convert the file to NetCDF, or it can be loaded as a module and the function load_carma_ext_txtfile used to import data from the extinction text file as an xarray Dataset. Documentation includes examples of both use cases.",NA
"48","Python","doi.org/10.7281/T1/I0H3GY",3,"Software for the Analysis and Continuous Monitoring of Electrochemical Systems (SACMES)","This is a copy of scripts from https://github.com/netzlab/SACMES (commit: 9648ea9). Each script analyzes data from specific electrochemical techniques in real time and exports the data into space delimited txt files. Each script runs off of an multithreaded animation module known as ElectrochemicalAnimation and can analyze any number of electrodes simultaneously.","https://github.com/netzlab/SACMES"
"49","MATLAB","doi.org/10.7281/T1/AYTUVI",5,"Code associated with the publication: Patients with Cerebellar Ataxia Do Not Benefit from Limb Weights","Code associated with the publication: Zimmet, Amanda M., Cowan, N. J., and Bastian, A. J. (2019). Patients with Cerebellar Ataxia Do Not Benefit from Limb Weights. Cerebellum.",NA
"50","MATLAB","doi.org/10.7281/T1/VZYIRV",3,"Code associated with the publication: Temporal interference current stimulation in peripheral nerves is not driven by envelope extraction","Data and MATLAB scripts related to publication",NA
"51","MATLAB","doi.org/10.7281/T1/XTSKOW",3,"Code associated with publication ""High-resolution behavioral mapping of electric fishes in Amazonian habitats""","'Fishtracker' is the two-step algorithm described in Madhav, Jayakumar et. al, 2017 to track multiple freely moving weakly electric fish using measurements from a grid of electrodes in a known configuration (see '2_Fishtracker'). Also included is code used to generate the data and results figures from the Madhav, Jayakumar et. al , 2017 (see '3_PaperFigs') and code for analyzing laboratory data (see '4_AnalysisCommon').","https://github.com/manusmad/fishtracker"
"52","MATLAB","doi.org/10.7281/T1/FIS2QT",3,"Code associated with the publication “Feedbacks driving interdecadal variability in Southern Ocean convection in climate models: A coupled oscillator mechanism”","Model output generated using the ESM2Mc model described in Galbraith et al., Climate variability and radiocarbon in the CM2Mc Earth System Model , Journal of Climate., 24 , 4230-4254, <a href=""https://doi.org/10.1175/2011JCLI3919.1"">https://doi.org/10.1175/2011JCLI3919.1</a> with several variants of the mixing coefficient. Runscript for the AREDI400 version of the model showing all parameters is provided as file 27. Files are divided into datasets followed by “.nc”,  Matlab scripts (flat text) followed by a “.m”,  and a flat text runscript file without a suffix.",NA
"53","Fortran","doi.org/10.7281/T1/VWR4GR",3,"Software associated with Seviour et al. 2017, The Stability of Mars’ Annular Polar Vortex","‘BOB’ shallow water model code, along with model output and analysis code used to study the dynamics of Mars’ polar vortex. 
Codes are available in 1_Model.zip file. It is based on GitHub <a href=""https://github.com/wseviour/swbob_mars/commit/4a271d36f97c92729bace3fa04a1dd8dcc9ee0da"">commit 4a271d3</a>. See the 'Readme' file in '1_Model.zip' for details.",NA
"54","Python","doi.org/10.7281/T1/VWR4GR",3,"Software associated with Seviour et al. 2017, The Stability of Mars’ Annular Polar Vortex","‘BOB’ shallow water model code, along with model output and analysis code used to study the dynamics of Mars’ polar vortex. 
Codes are available in 1_Model.zip file. It is based on GitHub <a href=""https://github.com/wseviour/swbob_mars/commit/4a271d36f97c92729bace3fa04a1dd8dcc9ee0da"">commit 4a271d3</a>. See the 'Readme' file in '1_Model.zip' for details.",NA
"55","MATLAB","doi.org/10.7281/T1/WVEABK",3,"Code associated with the publication: Perceptual specializations for processing species-specific vocalizations in the common marmoset (Callithrix jacchus)","MATLAB code and associated datasets (.m & .mat) associated with the publication.",NA
"56","Python","doi.org/10.7281/T1/OM3OMQ",3,"Rainfall generator and runoff models","Python scripts run the rainfall generator and runoff model described in the manuscript and supplemental materials.",NA
"57",NA,"doi.org/10.7281/T1/ORP47N",3,"Code associated with the publication: Bilateral widefield calcium imaging reveals circuit asymmetries and lateralized functional activation of mouse auditory cortex","Because the raw images are not deposited for the large storage capacity requirement, the MATLAB scripts (.m files) can only be used to reproduce results in publication.",NA
"58","Javascript","doi.org/10.7281/T1/HRK27V",3,"Code supporting: The cellular architecture of memory modules in Drosophila supports stochastic input integration","SIMULATION CODE

NB: All simulation code has been written and tested for NEURON installed on Linux (Ubuntu) and can be run from the terminal with the following command:

nrniv -python filename.py

--------------------

'Fig2-Optimization-SynapseSections.py'
Replicates the model optimization and parameter fit testing described in Figure 2. Additionally includes code to map the synapse locations (with coordinates in microns) onto the nearest MBON-a3 section.

--------------------

'Fig3-Individual-Synapses.py'
Replicates the results reported in Figure 3. These simulations systematically activate each of the 3,121 KC>MBON-a3 synapses to determine the effects of single synapse activation on the local dendritic segment, proximal neurite, and soma. Additionally outputs the image of MBON-a3 with all synaptic sections colored in red. 

--------------------

'Fig4-KC-Activation.py'
Replicates the results reported in Figure 4. These simulations systematically activate all of the synaptic sites associated with each KC and record the effects of KC activation on MBON-a3.

--------------------

'Fig5-KC-Synaptic-Plasticity.py'
Replicates the results reported in Figure 5. These simulations activate the synapses associated with a population of KCs, with parameter options to modify the number of recruited KCs and/or the synaptic strength.",NA
"59","Python","doi.org/10.7281/T1/HRK27V",3,"Code supporting: The cellular architecture of memory modules in Drosophila supports stochastic input integration","SIMULATION CODE

NB: All simulation code has been written and tested for NEURON installed on Linux (Ubuntu) and can be run from the terminal with the following command:

nrniv -python filename.py

--------------------

'Fig2-Optimization-SynapseSections.py'
Replicates the model optimization and parameter fit testing described in Figure 2. Additionally includes code to map the synapse locations (with coordinates in microns) onto the nearest MBON-a3 section.

--------------------

'Fig3-Individual-Synapses.py'
Replicates the results reported in Figure 3. These simulations systematically activate each of the 3,121 KC>MBON-a3 synapses to determine the effects of single synapse activation on the local dendritic segment, proximal neurite, and soma. Additionally outputs the image of MBON-a3 with all synaptic sections colored in red. 

--------------------

'Fig4-KC-Activation.py'
Replicates the results reported in Figure 4. These simulations systematically activate all of the synaptic sites associated with each KC and record the effects of KC activation on MBON-a3.

--------------------

'Fig5-KC-Synaptic-Plasticity.py'
Replicates the results reported in Figure 5. These simulations activate the synapses associated with a population of KCs, with parameter options to modify the number of recruited KCs and/or the synaptic strength.",NA
"60","Python","doi.org/10.7281/T1/7ELIJW",3,"AbdomenAtlas",NA,"https://github.com/MrGiovanni/AbdomenAtlas?tab=readme-ov-file"
"61","Python","doi.org/10.7281/T1/U5GUV3",3,"Software for the Analysis and Continuous Monitoring of Electrochemical Systems (SACMES)","This is a copy of scripts from https://github.com/netzlab/SACMES (commit: 9648ea9). Each script analyzes data from specific electrochemical techniques in real time and exports the data into space delimited txt files. Each script runs off of an multithreaded animation module known as ElectrochemicalAnimation and can analyze any number of electrodes simultaneously.","https://github.com/netzlab/SACMES"
"62","Python","doi.org/10.7281/T1/IHPXXR",3,"Software for the Analysis and Continuous Monitoring of Electrochemical Systems (SACMES)","This is a copy of scripts from https://github.com/netzlab/SACMES (commit: 9648ea9). Each script analyzes data from specific electrochemical techniques in real time and exports the data into space delimited txt files. Each script runs off of an multithreaded animation module known as ElectrochemicalAnimation and can analyze any number of electrodes simultaneously.","https://github.com/netzlab/SACMES"
"63","MATLAB","doi.org/10.7281/T1/DX9DL8",3,"Software associated with publication ""Closed-Loop Control of Active Sensing Movements Regulates Sensory Slip”","MATLAB analysis scripts",NA
"64","R","doi.org/10.7281/T1/CZDPSX",1,"ichseg: Intracerebral Hemorrhage Segmentation of X-Ray Computed Tomography (CT) Images","Performs preprocessing on computed tomography (CT) scans, including skull stripping. Computes predictors of intracerebral hemorrhage (ICH) and uses these to predict a binary hemorrhage mask from the data.","https://github.com/muschellij2/ichseg"
"65","MATLAB","doi.org/10.7281/T1/QS3QFT",3,"Code associated with publication: Mode switching in organisms for solving explore-vs-exploit problem.","This project includes datasets and codes pertinent to the study of how organisms solve the explore–exploit conflict while performing tasks where the same category of movement is used for both gathering information (“explore”) and achieving task goals (“exploit”). The codes contain (1) MATLAB scripts for the analysis of the experimental data from the novel study on weakly electric fish as well as for the reanalysis of the published datasets from ten phylogenetically diverse organisms, (2) MATLAB scripts for the reproduction of the result figures and tables, (2) R script for data analysis (HMM clustering), and (3) Python notebooks for the simulations related to the computational model.",NA
"66","Python","doi.org/10.7281/T1/QS3QFT",3,"Code associated with publication: Mode switching in organisms for solving explore-vs-exploit problem.","This project includes datasets and codes pertinent to the study of how organisms solve the explore–exploit conflict while performing tasks where the same category of movement is used for both gathering information (“explore”) and achieving task goals (“exploit”). The codes contain (1) MATLAB scripts for the analysis of the experimental data from the novel study on weakly electric fish as well as for the reanalysis of the published datasets from ten phylogenetically diverse organisms, (2) MATLAB scripts for the reproduction of the result figures and tables, (2) R script for data analysis (HMM clustering), and (3) Python notebooks for the simulations related to the computational model.",NA
"67","R","doi.org/10.7281/T1/QS3QFT",3,"Code associated with publication: Mode switching in organisms for solving explore-vs-exploit problem.","This project includes datasets and codes pertinent to the study of how organisms solve the explore–exploit conflict while performing tasks where the same category of movement is used for both gathering information (“explore”) and achieving task goals (“exploit”). The codes contain (1) MATLAB scripts for the analysis of the experimental data from the novel study on weakly electric fish as well as for the reanalysis of the published datasets from ten phylogenetically diverse organisms, (2) MATLAB scripts for the reproduction of the result figures and tables, (2) R script for data analysis (HMM clustering), and (3) Python notebooks for the simulations related to the computational model.",NA
"68","MATLAB","doi.org/10.7281/T1/YZKNJ6",5,"Code for synthetic image rendering based on the 3D CAD models",NA,"https://github.com/qliu24/render-3d-segmentation"
"69","Python","doi.org/10.7281/T1/YZKNJ6",5,"Code for synthetic image rendering based on the 3D CAD models",NA,"https://github.com/qliu24/render-3d-segmentation"
"70","Java","doi.org/10.7281/T1/D06YVM",6,"Concrete Tools","Concrete is a data serialization format for NLP. It replaces ad-hoc XML, CSV, or programming language-specific serialization as a way of storing document- and sentence- level annotations.
<br><br>
This metadata block describes Concrete's associated tools, concrete-java, concrete-js, concrete-python. To download the code, see the individual package descriptions under ""Other Related Software"" below for actual download locations.","https://github.com/hltcoe/"
