"","full_affiliation","clean_name"
"27","Institut Supérieur des Sciences de la Population, University of Ouagadougou, Ouagadougou, Burkina Faso; Université catholique de Louvain, Louvain-la-Neuve, Belgium","Institut Supérieur des Sciences de la Population"
"28","Mela Research PLC, Addis Ababa, Ethiopia",NA
"29","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"30","National Statistical Office, Zomba, Malawi",NA
"31","Global Disease Epidemiology and Control, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"32","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"33","Chancellor College, University of Malawi, Zomba, Malawi","University of Malawi"
"34","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia",NA
"35","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"36","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"37","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"38","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"39","ABH Services PLC, Addis Ababa, Ethiopia",NA
"40","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"41","Institut National de la Statistique et de la Démographie, Ouagadougou, Ouagadougou, Burkina Faso","Institut National de la Statistique et de la Démographie"
"42","University of Pelotas, Pelotas, Brazil","University of Pelotas"
"43","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"44","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"45","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"46","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"47","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"48","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"49","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"50","Department of Earth Science, University of California, Santa Barbara, Santa Barbara, CA, USA","University of California"
"51","Department of Earth Sciences, Durham University, Durham, UK","Durham University"
"52","Department of Earth Science, University of California, Santa Barbara, Santa Barbara, CA, USA","University of California"
"53","Australian Synchrotron, Clayton, Victoria, Australia",NA
"54","Diamond Light Source, Harwell Science and Innovation Campus, Didcot, UK",NA
"55","Diamond Light Source, Harwell Science and Innovation Campus, Didcot, UK",NA
"56","Department of Chemistry, Durham University, Durham, UK","Durham University"
"57","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"58","Department of Mechanical Engineering, University of Maryland Baltimore County, Baltimore, MD, USA","University of Maryland"
"59","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"60","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"61","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"62","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"63","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"64","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"65","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"66","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"67","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"68","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"69","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"70","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"71","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"72","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"73","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"74","Department of Chemical & Environmental Engineering, Yale University, New Haven, CT, USA","Yale University"
"75","Department of Chemical & Environmental Engineering, Yale University, New Haven, CT, USA","Yale University"
"76","School of Optoelectronic Information, University of Electronic Science and Technology of China, Chengdu, China","University of Electronic Science and Technology of China"
"77","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"78","Department of Materials Science and Engineering; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"79","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"80","Department of Material Science and Engineering, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","The State University of New Jersey"
"81","Department of Physics and Astronomy, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","The State University of New Jersey"
"82","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"83","Department of Materials Science and Engineering; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"84","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"85","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"86","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"87","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"88","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"89","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"90","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"91","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"92","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"93","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"94","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"95","Department of Medicine, Northwestern University, Chicago, IL, USA","Northwestern University"
"96","Cardiovascular Health Research Unit and Department of Epidemiology, University of Washington, Seattle, WA, USA","University of Washington"
"97","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"98","Inova Heart and Vascular Institute, Falls Church, VA, USA","Inova Heart and Vascular Institute"
"99","University of California Los Angeles Medical Center, Los Angeles, CA, USA","University of California Los Angeles Medical Center"
"100","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"101","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"102","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"103","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"104","Department of Applied Mathematics and Statistics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"105","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"106","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"107","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"108","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"109","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"110","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"111","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"112","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"113","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","Johns Hopkins University"
"114","Johns Hopkins University, Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"115","Johns Hopkins University Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"116","Sociology Department, Félix Houphouët-Boigny University in Cocody, Abidjan, Côte d’Ivoire","Félix Houphouët-Boigny University in Cocody"
"117","Sociology Department, Alassane Ouattra University, Bouaké, Côte d’Ivoire","Alassane Ouattra University"
"118","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","Johns Hopkins University"
"119","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","Johns Hopkins University"
"120","Johns Hopkins University Center for Communication Programs, Abidjan, Côte d’Ivoire","Johns Hopkins University"
"121","United States Agency for International Development, Washington, D.C., USA",NA
"122","United States Agency for International Development, Cote d’Ivoire",NA
"123","Johns Hopkins University Center for Communication Programs, Baltimore, Maryland, USA","Johns Hopkins University"
"124","Johns Hopkins University School of Medicine, Baltimore, Maryland, USA","Johns Hopkins University"
"125","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"126","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"127","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"128","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"129","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"130","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"131","Department of Sociology, Félix Houphouët-Boigny University in Cocody, Abidjan, Côte d’Ivoire","Félix Houphouët-Boigny University in Cocody"
"132","Department of Sociology, Alassane Ouattra University, Bouaké, Côte d’Ivoire","Alassane Ouattra University"
"133","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"134","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"135","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"136","United States Agency for International Development, Washington, DC, USA",NA
"137","United States Agency for International Development, Washington, DC, USA",NA
"138","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"139","Department of Infectious Disease, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"140","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"141","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"142","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"143","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"144","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"145","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai, China","Johns Hopkins University"
"146","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"147","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"148","Johns Hopkins Medicine Wilmer Eye Institute","Johns Hopkins University"
"149","Johns Hopkins Medicine Wilmer Eye Institute","Johns Hopkins University"
"150","Johns Hopkins University School of Medicine, Outcomes After Critical Illness and Surgery Group, Division of Pulmonary and Critical Care Medicine, Department of Epidemiology, Baltimore, MD","Johns Hopkins University"
"151","Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD","Johns Hopkins University"
"152","Johns Hopkins University School of Medicine, Outcomes After Critical Illness and Surgery Group, Division of Pulmonary and Critical Care Medicine, Baltimore, MD","Johns Hopkins University"
"153","Division of Geriatrics, Gerontology, and Palliative Medicine, Department of Internal Medicine, University of Nebraska Medical Center, Omaha, NE","University of Nebraska Medical Center"
"154","Division of Pediatric Palliative Medicine, Prisma Health Children’s Hopsital – Upstate, University of South Carolina School of Medicine – Greenville, Greenville, SC","University of South Carolina School of Medicine – Greenville"
"155","Johns Hopkins University, Department of Earth and Planetary Sciences","Johns Hopkins University"
"156","Johns Hopkins University, Department of Earth and Planetary Sciences","Johns Hopkins University"
"157","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"158","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"159","Department of Medicine, Baylor College of Medicine, Houston, TX, USA",NA
"160","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"161","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"162","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"163","Department of Medicine, Baylor College of Medicine, Houston, TX, USA",NA
"164","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"165","Department of Epidemiology, Emory University, Atlanta, GA, USA","Emory University"
"166","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"167","Department of Medicine, Baylor College of Medicine, Houston, TX, USA",NA
"168","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"169","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"170","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"171","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"172","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"173","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"174","Uganda Tuberculosis Implementation Research Consortium, Makerere University, College of Health Sciences, Kampala, Uganda","Makerere University"
"175","Department of Epidemiology, Johns Hopkins University","Johns Hopkins University"
"176","Department of Epidemiology, Johns Hopkins University","Johns Hopkins University"
"177","Department of Epidemiology, Johns Hopkins University","Johns Hopkins University"
"178","Uganda Tuberculosis Implementation Research Consortium and Department of Medicine, College of Health Sciences, Makerere University, Upper Mulago Hill, Kampala, Uganda","Makerere University"
"179","Division of Infectious Diseases and Center for Tuberculosis Research, Department of Medicine, Johns Hopkins University","Johns Hopkins University"
"180","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"181","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"182","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"183","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"184","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"185","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"186","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"187","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"188","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"189","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"190","Materials Science and Engineering; Chemistry, Johns Hopkins University","Johns Hopkins University"
"191","Materials Science and Engineering; Chemistry, Johns Hopkins University","Johns Hopkins University"
"192","Materials Science and Engineering; Chemistry, Johns Hopkins University","Johns Hopkins University"
"193","Polymer Science and Engineering, University of Massachusetts, Amherst; Materials Science Division, Lawrence Berkeley National Laboratory","University of Massachusetts"
"194","Polymer Science and Engineering, University of Massachusetts, Amherst; Materials Science Division, Lawrence Berkeley National Laboratory","University of Massachusetts"
"195","Materials Science and Engineering; Chemistry, Johns Hopkins University","Johns Hopkins University"
"196","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"197","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"198","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"199","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"200","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"201","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"202","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"203","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"204","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"205","The JiVitA Project, Gaibandha, Bangladesh",NA
"206","The JiVitA Project, Gaibandha, Bangladesh",NA
"207","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"208","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"209","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","Johns Hopkins University"
"210","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","Johns Hopkins University"
"211","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","Johns Hopkins University"
"212","Materials Science and Engineering and Department of Chemistry, Johns Hopkins University","Johns Hopkins University"
"213","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"214","FHI 360, Durham, NC, USA",NA
"215","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"216","The Challenge Initiative, Johns Hopkins Center for Communication Programs, Baltimore, MD, USA","Johns Hopkins University"
"217","The Challenge Initiative, East Africa Hub, Jhpiego, Kampala, Uganda",NA
"218","The Challenge Initiative, Francophone West Africa Hub, IntraHealth International, Dakar, Senegal",NA
"219","The Challenge Initiative for Healthy Cities, India Hub, Population Services International, Delhi, India",NA
"220","The Challenge Initiative, Nigeria Hub, Johns Hopkins Center for Communication Programs, Abuja, Nigeria","Johns Hopkins University"
"221","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"222","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"223","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"224","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"225","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"226","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"227","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"228","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"229","Department of Chemistry and Biochemistry, University of Northern Iowa, Cedar Falls, IA, USA","University of Northern Iowa"
"230","Applied Physics Laboratory, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"231","Université Grenoble Alpes, CNRS, CNES, IPAG, 38000 Grenoble, France",NA
"232","Université Grenoble Alpes, CNRS, CNES, IPAG, 38000 Grenoble, France",NA
"233","Université Grenoble Alpes, CNRS, CNES, IPAG, 38000 Grenoble, France",NA
"234","Université Grenoble Alpes, CNRS, CNES, IPAG, 38000 Grenoble, France",NA
"235","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, BD, MD, USA","Johns Hopkins University"
"236","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"237","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"238","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"239","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"240","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"241","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"242","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"243","School of Earth and Ocean Sciences, University of Victoria, Victoria, British Columbia, Canada","University of Victoria"
"244","Department of Earth Sciences, Carleton University, 1125 Colonel By Drive, Ottawa, Ontario, Canada","Carleton University"
"245","Baltimore Polytechnic Institute, Baltimore, MD, USA","Baltimore Polytechnic Institute"
"246","Department of Geosciences, Princeton University, Princeton, NJ, USA","Princeton University"
"247","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"248","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"249","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"250","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"251","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"252","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"253","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"254","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"255","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"256","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"257","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"258","Division of Viral Products, Center of Biologics Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, MD, USA",NA
"259","Office of Women’s Health, U.S. Food and Drug Administration, Silver Spring, MD, USA",NA
"260","Division of Urology, Obstetrics, and Gynecology; Office of Rare Diseases, Pediatrics, Urologic and Reproductive Medicine; Office of New Drugs; Center for Drug Evaluation and Research; U.S. Food and Drug Administration, Silver Spring, MD, USA",NA
"261","Division of Urology, Obstetrics, and Gynecology; Office of Rare Diseases, Pediatrics, Urologic and Reproductive Medicine; Office of New Drugs; Center for Drug Evaluation and Research; U.S. Food and Drug Administration, Silver Spring, MD, USA",NA
"262","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"263","Department of Obstetrics, Gynecology and Reproductive Sciences, University of Maryland, Baltimore, MD, USA","University of Maryland"
"264","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"265","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"266","Department of Emergency Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"267","Department of Molecular Microbiology and Immunology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"268","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"269","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"270","Department of Material Science and Engineering, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","The State University of New Jersey"
"271","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"272","Department of Physics and Astronomy, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","The State University of New Jersey"
"273","Department of Physics and Astronomy, Rutgers, The State University of New Jersey, Piscataway, NJ, USA","The State University of New Jersey"
"274","Department of Material Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"275","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"276","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"277","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"278","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"279","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"280","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"281","Center for Communication Programs, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"282","Center for Scientific Review, National Institutes of Health, Bethesda, MD, USA","National Institutes of Health"
"283","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"284","Cleveland Clinic, Department of Medicine, Cleveland, OH, USA",NA
"285","Department of Internal Medicine, Yale School of Medicine, Yale University, New Haven, CT, USA","Yale University"
"286","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"287","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"288","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"289","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
